,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,11.2,81.91274507340404,97609.73652370478,8.2,0,1,0,0.0,0.6692677070828331,Neither,0,0.0,-0.5141946388737944,167.50857994258646,-77.50857994258646,0,-0.0,0,0,1.466466540792634
1,10.0,88.55431899827464,97609.73652370478,8.2,0,1,1,0.0,0.6692677070828331,Neither,1,0.0,0.48580536112620565,167.80558068762429,-77.80558068762429,0,-0.0,0,0,2.0530531571096877
2,10.0,88.55431899827464,97609.73652370478,8.2,0,1,2,0.0,0.6692677070828331,Neither,2,0.0,1.4858053611262056,157.91938228196517,-67.91938228196517,0,-0.0,0,0,1.466466540792634
3,10.0,85.23353203583933,97609.73652370478,7.6,0,1,3,0.0,0.6692677070828331,Neither,3,0.0,2.4858053611262054,145.83661934864318,-55.83661934864318,0,-0.0,0,0,0.0
4,9.3,88.55431899827464,97709.73652370478,7.5,0,1,4,0.0,0.6692677070828331,Neither,4,0.0,3.4858053611262054,133.35679040098722,-43.35679040098722,0,-0.0,0,0,0.0
5,8.8,87.4473900107962,97709.73652370478,6.8,0,1,5,0.0,0.6692677070828331,Neither,5,0.0,4.485805361126205,120.90028773814043,-30.900287738140435,0,-0.0,0,0,1.466466540792634
6,8.1,90.7681769732315,97709.73652370478,6.7,0,1,6,0.0,0.6692677070828331,Sunrise,6,0.0,5.485805361126205,108.67714672352896,-18.677146723528963,0,-0.0,0,0,2.541875337373899
7,8.8,87.4473900107962,97809.73652370478,6.8,0,1,7,0.0,0.6692677070828331,Neither,7,0.24786324786324787,6.485805361126205,96.8788187637678,-6.878818763767796,0,-0.0,0,0,2.0530531571096877
8,9.3,84.1266030483609,97909.73652370478,6.8,116,1,8,0.49572649572649574,0.6692677070828331,Neither,8,0.32096069868995636,7.485805361126205,85.74473477297857,4.255265227021425,71,606.4679178044267,0,0,0.0
9,13.1,65.30881026122755,97909.73652370478,6.7,294,1,9,0.6419213973799127,0.6692677070828331,Neither,9,0.5838378912863857,8.485805361126205,75.613276978957,14.386723021042997,93,808.9656459244841,0,0,1.466466540792634
