,1,5,25,50,75,95,99,date
0,7.744056449610073e-07,1.5689079702951861e-06,3.9840038539296074e-06,7.145590416257619e-06,2.567086812632624e-05,8.471308374282667e-05,0.00010805690773850071,1960-01-01
1,2.346848418710579e-06,3.533108269948571e-06,9.757229463502881e-06,1.3563894299295498e-05,1.9224683683205512e-05,4.213968750264029e-05,4.64615012606373e-05,1960-02-01
2,3.1800986789676245e-06,4.031318326269684e-06,9.225877988683351e-06,1.3939647942606825e-05,2.6318176423956174e-05,3.757137164939195e-05,3.844595048576593e-05,1960-03-01
3,1.4956045856706624e-06,1.8145948729397788e-06,4.739431119560322e-06,1.2305039035709342e-05,1.796998731151689e-05,3.4908408088085695e-05,4.039604547870112e-05,1960-04-01
4,1.0688212903176012e-07,1.8272237376493197e-07,6.63517909060829e-07,1.836921626363619e-06,7.080957516336639e-06,1.776153440005145e-05,2.2294726950349282e-05,1960-05-01
5,4.873112783343458e-07,6.224598422477357e-07,1.6011885008992977e-06,3.8157086237333715e-06,6.7600662987388205e-06,1.838515240706328e-05,2.2544889516211692e-05,1960-06-01
6,1.2468080285543692e-07,1.331077555732918e-07,2.7085871678877993e-07,1.3111157954881492e-06,1.937793058459647e-06,3.6240834219825045e-06,3.6925670178789e-06,1960-07-01
7,5.7253910448196164e-08,6.12388914689177e-08,3.6155535987347776e-07,1.1987706898253236e-06,2.756991932528763e-06,7.371024253188806e-06,7.874519155848247e-06,1960-08-01
8,6.263091762548357e-07,8.731920928539694e-07,3.0677563529479812e-06,4.381122380436864e-06,6.8754426365558174e-06,1.4988928910497627e-05,1.841361038259492e-05,1960-09-01
9,6.724962036059878e-06,7.1258471280089e-06,1.0668119557522004e-05,1.5547958810202545e-05,2.4921063413785305e-05,5.406485634011913e-05,6.32922823933768e-05,1960-10-01
10,3.5435602785582887e-06,4.372916600914323e-06,7.268610147548316e-06,2.2531085051014088e-05,2.490709266567137e-05,3.044900049644639e-05,3.189162927810685e-05,1960-11-01
11,2.775210330128175e-06,2.9125714149813577e-06,1.1395914441436616e-05,1.6718980532459682e-05,3.488848506094655e-05,6.0953609136049615e-05,6.948015688976736e-05,1960-12-01
12,1.2441313049293973e-06,3.0146817891818504e-06,1.2032744621137681e-05,1.5560994597763056e-05,1.8098475720762508e-05,2.284126358063076e-05,2.4146354353433707e-05,1961-01-01
13,7.136316799005726e-06,7.353181445068913e-06,1.0859885605896125e-05,1.2736172266158974e-05,2.0706284431071253e-05,6.605781181860946e-05,8.110829006909623e-05,1961-02-01
14,1.704871841639033e-06,1.7736879897256586e-06,2.8755909511346545e-06,1.059254873325699e-05,2.2178155631991103e-05,2.89624202196137e-05,3.1349398668680805e-05,1961-03-01
15,4.933301292453509e-07,1.334898290394904e-06,4.132969365855388e-06,5.882574441784527e-06,1.4529236750604468e-05,2.6732179594546318e-05,3.009409525475348e-05,1961-04-01
16,4.9831090836960356e-06,5.079365928395419e-06,5.585664894169895e-06,1.2657321349252015e-05,1.5978466763044707e-05,3.236504999222233e-05,3.9149486983660605e-05,1961-05-01
17,8.336613554149613e-08,3.292633625306963e-07,1.7885839156406291e-06,2.2985938130659633e-06,1.092133675228979e-05,2.1393324368546017e-05,2.195843861045432e-05,1961-06-01
18,3.656846772059908e-08,5.109970047101343e-08,9.756954924000638e-07,1.4072701333134319e-06,2.785034610042203e-06,5.888163423151126e-06,6.895852520756306e-06,1961-07-01
19,9.323839513797342e-08,1.7350967418394705e-07,5.566985166183258e-07,9.052400855580345e-07,3.0949379379308084e-06,7.848556651879335e-06,7.893020538176642e-06,1961-08-01
20,1.6778155831786997e-07,5.143936302687281e-07,1.4080112293868297e-06,3.532502887537703e-06,9.936237574947882e-06,1.2690281891991617e-05,1.2725732904073084e-05,1961-09-01
21,3.2236014590125706e-06,3.3307773605883995e-06,4.842610394462099e-06,8.63253671923303e-06,1.6420460042354534e-05,5.37479891136172e-05,6.419267065211897e-05,1961-10-01
22,1.3898892768793306e-06,2.6753956319680585e-06,6.117865609667206e-06,1.0422282002764405e-05,2.152949264200288e-05,2.5614724472688975e-05,2.6266710374329702e-05,1961-11-01
23,4.445677072908439e-06,5.08921964410547e-06,6.635454610659508e-06,1.213741370520438e-05,1.6596758541709278e-05,1.9796112610492855e-05,2.0191556541249155e-05,1961-12-01
24,6.787346507053373e-07,1.1242354531759702e-06,3.073357561333978e-06,6.366981779137859e-06,1.9713475467142416e-05,3.3701455140544565e-05,3.467165621259483e-05,1962-01-01
25,2.108022786160291e-06,2.295357103321294e-06,7.116970209608553e-06,2.2286960302153602e-05,3.396621013962431e-05,3.887343045789748e-05,3.9299757336266336e-05,1962-02-01
26,8.118733894662e-06,8.241753312177024e-06,9.635864671508898e-06,1.3496301562554436e-05,2.054517244687304e-05,4.0641491887072326e-05,4.5430881600623243e-05,1962-03-01
27,2.761867909839567e-07,9.360907739619509e-07,4.260129571775906e-06,7.255651325976942e-06,1.3884239706385415e-05,3.114004075541743e-05,3.158253182846238e-05,1962-04-01
28,2.2208212249097412e-06,2.7394506105338226e-06,7.410941861962783e-06,1.4600148006138625e-05,1.9990827240690123e-05,3.693076387207838e-05,4.135398417929536e-05,1962-05-01
29,1.5589017743877777e-06,1.836701937918406e-06,2.648984434472368e-06,4.014320666101412e-06,6.3581687754776794e-06,1.2114985111111306e-05,1.3701487296202684e-05,1962-06-01
30,1.2254385708843074e-07,1.246154205603034e-07,1.605381214631052e-07,9.5374417696803e-07,7.189511052274611e-06,1.6285005131067003e-05,1.905568215079256e-05,1962-07-01
31,9.686638172468065e-08,9.850049558224327e-08,1.0274975359436667e-07,3.7628350924023835e-07,3.909088036380126e-06,1.0336419177292551e-05,1.2082018124601743e-05,1962-08-01
32,3.046847058385538e-07,4.30185659183735e-07,1.2332592120856134e-06,5.259853196548647e-06,1.0116882549482398e-05,3.485415181785354e-05,4.463214449060614e-05,1962-09-01
33,7.589378546981607e-06,8.494060057273601e-06,1.0595319963613292e-05,1.7320985989499604e-05,3.067466650463757e-05,5.303326506691517e-05,6.220662100531626e-05,1962-10-01
34,3.952417619075277e-06,5.055753399574315e-06,9.174800084110757e-06,1.612098685654928e-05,3.256589207012439e-05,5.857520973222561e-05,6.926727877726078e-05,1962-11-01
35,4.258294698047394e-06,4.395950486468791e-06,5.3159234312261106e-06,2.0981457964808214e-05,2.456623542457237e-05,3.146428653053589e-05,3.400239309485186e-05,1962-12-01
36,3.1052512144924552e-06,4.375237119802478e-06,7.329315621973365e-06,1.4917043699824717e-05,2.7019966182706412e-05,4.0562714457337275e-05,4.389280951727414e-05,1963-01-01
37,5.235027492744848e-06,5.6484859669581056e-06,6.960703785807709e-06,1.194964897877071e-05,4.5329657950787805e-05,6.228792226465883e-05,6.73499814729439e-05,1963-02-01
38,1.7817268530961883e-06,1.9069966242568625e-06,3.943130366224068e-06,6.2477477058564546e-06,1.1485593176985276e-05,2.7839573795063186e-05,2.9858550824428673e-05,1963-03-01
39,8.623255462225644e-07,1.514728705842572e-06,1.0893034016135061e-05,1.9326279470988084e-05,4.197601992927957e-05,8.219013143389019e-05,8.6479153324035e-05,1963-04-01
40,5.552194676283763e-07,7.497074449247521e-07,2.0380091427796287e-06,6.861774863864412e-06,8.748683512749267e-06,1.2418304231687215e-05,1.3190145164116985e-05,1963-05-01
41,1.2582024325524804e-07,3.4748374204696126e-07,1.835316012943622e-06,3.7610565186696476e-06,7.440027616212319e-06,1.1635410464805318e-05,1.2083648671250558e-05,1963-06-01
42,2.691081630246117e-07,3.7135739319182906e-07,1.5080110671306102e-06,2.0781058083230164e-06,2.7910053290725045e-06,5.5325238577097454e-06,6.653147704582805e-06,1963-07-01
43,2.419979654177951e-07,3.981703088129507e-07,7.981906833265384e-07,9.493974744145817e-07,1.9555486403532996e-06,7.019443069111727e-06,8.44648662223335e-06,1963-08-01
44,1.5763375290589469e-06,2.064715965843789e-06,6.082256220452109e-06,8.244239779742202e-06,1.0946371958198142e-05,2.6906647508440064e-05,3.135280490823788e-05,1963-09-01
45,9.76012293847362e-07,3.5177713058942584e-06,1.0168696235268726e-05,1.6978761777863838e-05,1.885737947304733e-05,3.202923289791214e-05,3.757482954824808e-05,1963-10-01
46,8.43558873384609e-06,9.312497695646016e-06,1.475302929065947e-05,1.745291410770733e-05,3.24538855238643e-05,5.639499486278509e-05,6.037533905328018e-05,1963-11-01
47,2.284648392105737e-06,3.947933112158353e-06,9.444121360502322e-06,1.2221640645293519e-05,1.4387474493560148e-05,3.0667005466966645e-05,3.6360776193760095e-05,1963-12-01
48,5.240296800366196e-06,6.841752406216984e-06,1.367474715152639e-05,2.264436534460401e-05,3.6485492273641285e-05,6.166415278130444e-05,6.540509148180717e-05,1964-01-01
49,6.217115651452332e-06,6.265535148486379e-06,6.701996539959509e-06,1.0279836260451702e-05,1.908040167108993e-05,3.706403640535426e-05,4.32366889072e-05,1964-02-01
50,2.60629223248543e-06,3.241294575673237e-06,5.334449042493361e-06,1.063862259798043e-05,1.795503885659855e-05,2.5262690269300943e-05,2.729017391175148e-05,1964-03-01
51,3.35622426973714e-06,3.6007150356454075e-06,4.506775212576031e-06,7.407771590806078e-06,1.4051220887267846e-05,2.3936679281177926e-05,2.691269204660784e-05,1964-04-01
52,4.289724287787067e-07,6.619234156346465e-07,8.897796163864768e-06,1.450756599297165e-05,2.06638069357723e-05,2.5621230088290757e-05,2.6924138437607323e-05,1964-05-01
53,3.11382263816995e-06,3.2565840115239555e-06,3.700957336150168e-06,3.944719082937809e-06,8.710579095350113e-06,1.3419815877568906e-05,1.3709939157706685e-05,1964-06-01
54,2.1482901459535245e-07,3.595302452197302e-07,9.713294986113397e-07,1.3147559911885764e-06,8.431112519247108e-06,1.1299151265120597e-05,1.216834865772398e-05,1964-07-01
55,2.9355996417734786e-07,3.41027062233934e-07,5.803763443168464e-07,2.475855580996722e-06,3.8871459651090845e-06,7.460223878297255e-06,8.261645944003248e-06,1964-08-01
56,1.7295928991245552e-07,4.608527621741133e-07,3.213486962749812e-06,4.407564802022534e-06,1.4774361034142203e-05,1.982649027922889e-05,2.0996036000724415e-05,1964-09-01
57,4.665575024773716e-06,4.901352394881542e-06,6.824274009886722e-06,1.4247571925807279e-05,2.3640127892576857e-05,3.900010251527419e-05,4.019341908133356e-05,1964-10-01
58,7.587618893012405e-06,7.742823072476313e-06,1.185972882922215e-05,1.5260960481100483e-05,2.320958765267278e-05,4.4186172090121525e-05,5.3161570758675214e-05,1964-11-01
59,6.7760317915599445e-06,6.793158468099136e-06,9.154029726232693e-06,1.673171209404245e-05,2.580490263426327e-05,2.768030581137282e-05,2.7881250225618715e-05,1964-12-01
60,3.3355057780681816e-06,3.529254115619551e-06,5.775937779617379e-06,1.1727589026122587e-05,1.9792899820458842e-05,3.910189079761038e-05,4.666118031309451e-05,1965-01-01
61,8.976634626378655e-07,1.0387562497271576e-06,1.2367069558649746e-05,1.9264776710770093e-05,2.619142969706445e-05,3.962708906328771e-05,4.096105352800805e-05,1965-02-01
62,7.522074577082098e-07,2.681879533383836e-06,1.0284223776579893e-05,1.392708236380713e-05,2.785203605526476e-05,4.247612050676252e-05,4.461172145965975e-05,1965-03-01
