,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,8.8,41.93197601830626,94352.29082600196,-3.4,0,2001-01-01 00:00:00-08:00,1,0,0.0,0.6660074708855197,Neither,0,0.0,0.0,0.0,7,3,1.9188778848678187
1,10.0,41.93197601830626,94352.29082600196,-2.3,0,2001-01-01 01:00:00-08:00,1,1,0.0,0.6660074708855197,Neither,1,0.0,0.0,0.0,7,3,2.375753571741109
2,9.4,44.32808893363805,94352.29082600196,-2.1,0,2001-01-01 02:00:00-08:00,1,2,0.0,0.6660074708855197,Neither,2,0.0,0.0,0.0,9,4,1.3706270606198705
3,9.4,44.32808893363805,94352.29082600196,-2.1,0,2001-01-01 03:00:00-08:00,1,3,0.0,0.6660074708855197,Neither,3,0.0,0.0,0.0,7,3,0.0
4,8.8,45.52614539130394,94352.29082600196,-2.3,0,2001-01-01 04:00:00-08:00,1,4,0.0,0.6660074708855197,Neither,4,0.0,0.0,0.0,8,3,1.9188778848678187
5,8.8,45.52614539130394,94452.29082600196,-2.3,0,2001-01-01 05:00:00-08:00,1,5,0.0,0.6660074708855197,Neither,5,0.0,0.0,0.0,8,4,2.375753571741109
6,8.2,45.52614539130394,94452.29082600196,-2.9,0,2001-01-01 06:00:00-08:00,1,6,0.0,0.6660074708855197,Sunrise,6,0.4315068493150685,0.0,0.0,5,2,2.375753571741109
7,7.5,47.922258306635726,94552.29082600196,-2.8,63,2001-01-01 07:00:00-08:00,1,7,0.4315068493150685,0.6660074708855197,Neither,7,0.30997304582210244,63.0,0.0,3,1,1.3706270606198705
8,10.6,40.733919560640366,94652.29082600196,-2.2,230,2001-01-01 08:00:00-08:00,1,8,0.6199460916442049,0.6660074708855197,Neither,8,0.5451545135867538,188.82430167525067,395.8371282329257,1,0,1.3706270606198705
9,14.4,31.149467899313223,94752.29082600196,-2.4,363,2001-01-01 09:00:00-08:00,1,9,0.6588021778584392,0.6660074708855197,Neither,9,0.6467837760754557,177.31413435427012,704.3560953322531,1,0,1.9188778848678187
10,16.1,27.555298526315543,94752.29082600196,-2.6,452,2001-01-01 10:00:00-08:00,1,10,0.6736214605067065,0.6660074708855197,Neither,10,0.6795392104761809,98.773300561202,904.0964883855585,1,0,0.0
11,18.0,25.15918561098376,94652.29082600196,-2.2,507,2001-01-01 11:00:00-08:00,1,11,0.7002762430939227,0.6660074708855197,Neither,11,0.6729809430193107,66.75108372080831,925.4021225444233,1,0,0.0
12,19.2,22.76307269565197,94652.29082600196,-2.6,474,2001-01-01 12:00:00-08:00,1,12,0.6723404255319149,0.6660074708855197,Neither,12,0.7042710226814832,127.32330428698481,676.0016099327681,1,0,0.0
13,20.5,22.76307269565197,94552.29082600196,-1.5,437,2001-01-01 13:00:00-08:00,1,13,0.7082658022690438,0.6660074708855197,Neither,13,0.6777650403521643,155.07531579268192,564.4983839718365,1,0,0.0
14,21.1,21.56501623798608,94552.29082600196,-1.7,317,2001-01-01 14:00:00-08:00,1,14,0.6831896551724138,0.6660074708855197,Neither,14,0.711275758277379,178.6359140128005,317.03318849560867,1,0,0.0
15,20.5,21.56501623798608,94352.29082600196,-2.2,185,2001-01-01 15:00:00-08:00,1,15,0.7142857142857143,0.6660074708855197,Neither,15,0.3773091133004926,137.58919813167864,144.4514059648384,1,0,1.3706270606198705
16,19.2,23.961129153317863,94552.29082600196,-1.9,3,2001-01-01 16:00:00-08:00,1,16,0.07142857142857142,0.6660074708855197,Sunset,16,0.7142857142857143,3.0,0.0,1,0,1.9188778848678187
17,15.6,28.75335498398144,94552.29082600196,-2.5,0,2001-01-01 17:00:00-08:00,1,17,0.0,0.6660074708855197,Neither,17,0.03571428571428571,0.0,0.0,1,0,2.832629258614399
18,13.0,34.743637272310906,94552.29082600196,-2.2,0,2001-01-01 18:00:00-08:00,1,18,0.0,0.6660074708855197,Neither,18,0.0,0.0,0.0,1,0,1.9188778848678187
19,13.0,34.743637272310906,94652.29082600196,-2.2,0,2001-01-01 19:00:00-08:00,1,19,0.0,0.6660074708855197,Neither,19,0.0,0.0,0.0,2,0,2.832629258614399
20,11.3,35.9416937299768,94652.29082600196,-3.2,0,2001-01-01 20:00:00-08:00,1,20,0.0,0.6660074708855197,Neither,20,0.0,0.0,0.0,1,0,1.9188778848678187
21,10.6,32.347524356979115,94652.29082600196,-5.3,0,2001-01-01 21:00:00-08:00,1,21,0.0,0.6660074708855197,Neither,21,0.0,0.0,0.0,1,0,1.9188778848678187
22,10.6,35.9416937299768,94752.29082600196,-3.9,0,2001-01-01 22:00:00-08:00,1,22,0.0,0.6660074708855197,Neither,22,0.0,0.0,0.0,1,0,3.2895049454876895
23,9.4,38.33780664530858,94752.29082600196,-4.1,0,2001-01-01 23:00:00-08:00,1,23,0.0,0.6660074708855197,Neither,23,0.0,0.0,0.0,1,0,3.2895049454876895
24,10.0,34.743637272310906,94852.29082600196,-4.8,0,2001-01-02 00:00:00-08:00,2,0,0.0,0.6508214676889376,Neither,24,0.0,0.0,0.0,1,0,1.9188778848678187
25,8.8,41.93197601830626,94852.29082600196,-3.4,0,2001-01-02 01:00:00-08:00,2,1,0.0,0.6508214676889376,Neither,25,0.0,0.0,0.0,1,0,1.3706270606198705
26,8.2,37.13975018764269,94852.29082600196,-5.6,0,2001-01-02 02:00:00-08:00,2,2,0.0,0.6508214676889376,Neither,26,0.0,0.0,0.0,1,0,2.375753571741109
27,6.9,44.32808893363805,94852.29082600196,-4.4,0,2001-01-02 03:00:00-08:00,2,3,0.0,0.6508214676889376,Neither,27,0.0,0.0,0.0,1,0,1.9188778848678187
28,10.6,33.54558081464501,94952.29082600196,-4.8,0,2001-01-02 04:00:00-08:00,2,4,0.0,0.6508214676889376,Neither,28,0.0,0.0,0.0,1,0,2.832629258614399
29,13.0,32.347524356979115,95152.29082600196,-3.2,0,2001-01-02 05:00:00-08:00,2,5,0.0,0.6508214676889376,Neither,29,0.0,0.0,0.0,1,0,4.203256319234269
30,9.4,35.9416937299768,95152.29082600196,-4.9,0,2001-01-02 06:00:00-08:00,2,6,0.0,0.6508214676889376,Sunrise,30,0.4315068493150685,0.0,0.0,1,0,1.3706270606198705
31,12.5,29.95141144164733,95352.29082600196,-4.6,63,2001-01-02 07:00:00-08:00,2,7,0.4315068493150685,0.6508214676889376,Neither,31,0.27088948787061995,63.0,0.0,1,0,4.203256319234269
32,16.1,22.76307269565197,95452.29082600196,-5.2,201,2001-01-02 08:00:00-08:00,2,8,0.5417789757412399,0.6508214676889376,Neither,32,0.5315428983417447,160.30350208522012,392.62463126529576,1,0,3.746380632360979
33,17.4,21.56501623798608,95352.29082600196,-4.8,348,2001-01-02 09:00:00-08:00,2,9,0.631578947368421,0.6508214676889376,Neither,33,0.5908299640610961,149.42851805917434,753.3078740186916,1,0,2.375753571741109
34,19.9,19.16890332265429,95552.29082600196,-4.3,430,2001-01-02 10:00:00-08:00,2,10,0.6398809523809523,0.6508214676889376,Neither,34,0.6571687840290381,78.32081290321975,899.3050509519392,1,0,6.122134204102088
35,20.5,15.574733949656611,95552.29082600196,-6.5,495,2001-01-02 11:00:00-08:00,2,11,0.6827586206896552,0.6508214676889376,Neither,35,0.6636462753418199,64.52248037425619,903.3807362468283,1,0,6.579009890975379
36,21.1,15.574733949656611,95452.29082600196,-6.0,486,2001-01-02 12:00:00-08:00,2,12,0.6874115983026874,0.6508214676889376,Neither,36,0.6830594395855385,113.16002575675947,725.3219914985625,1,0,7.035885577848669
37,21.7,15.574733949656611,95452.29082600196,-5.6,423,2001-01-02 13:00:00-08:00,2,13,0.6833602584814217,0.6508214676889376,Neither,37,0.6906008740978105,176.2366684097603,492.52330706676304,1,0,6.122134204102088
38,22.3,14.37667749199072,95452.29082600196,-6.1,324,2001-01-02 14:00:00-08:00,2,14,0.6937901498929336,0.6508214676889376,Neither,38,0.7176343277139933,175.80161801746212,338.06924684038603,1,0,5.208382830355508
39,21.7,14.37667749199072,95152.29082600196,-6.6,197,2001-01-02 15:00:00-08:00,2,15,0.7519083969465649,0.6508214676889376,Neither,39,0.3923496204010123,136.99355019451207,181.6135384441036,1,0,3.746380632360979
40,20.5,15.574733949656611,95352.29082600196,-6.5,4,2001-01-02 16:00:00-08:00,2,16,0.09090909090909091,0.6508214676889376,Sunset,40,0.7519083969465649,4.0,0.0,1,0,1.3706270606198705
41,18.0,17.9708468649884,95352.29082600196,-6.7,0,2001-01-02 17:00:00-08:00,2,17,0.0,0.6508214676889376,Neither,41,0.045454545454545456,0.0,0.0,1,0,2.832629258614399
42,18.6,17.9708468649884,95452.29082600196,-6.2,0,2001-01-02 18:00:00-08:00,2,18,0.0,0.6508214676889376,Neither,42,0.0,0.0,0.0,1,0,3.746380632360979
43,16.8,19.16890332265429,95452.29082600196,-6.8,0,2001-01-02 19:00:00-08:00,2,19,0.0,0.6508214676889376,Neither,43,0.0,0.0,0.0,1,0,1.3706270606198705
44,13.7,22.76307269565197,95452.29082600196,-7.2,0,2001-01-02 20:00:00-08:00,2,20,0.0,0.6508214676889376,Neither,44,0.0,0.0,0.0,1,0,1.3706270606198705
45,16.1,17.9708468649884,95352.29082600196,-8.2,0,2001-01-02 21:00:00-08:00,2,21,0.0,0.6508214676889376,Neither,45,0.0,0.0,0.0,1,0,2.375753571741109
46,16.8,17.9708468649884,95552.29082600196,-7.7,0,2001-01-02 22:00:00-08:00,2,22,0.0,0.6508214676889376,Neither,46,0.0,0.0,0.0,1,0,3.746380632360979
47,16.8,17.9708468649884,95552.29082600196,-7.7,0,2001-01-02 23:00:00-08:00,2,23,0.0,0.6508214676889376,Neither,47,0.0,0.0,0.0,1,0,2.832629258614399
48,8.8,34.743637272310906,95352.29082600196,-5.9,0,2001-01-03 00:00:00-08:00,3,0,0.0,0.6610687022900763,Neither,48,0.0,0.0,0.0,1,0,2.375753571741109
49,7.5,32.347524356979115,95352.29082600196,-8.0,0,2001-01-03 01:00:00-08:00,3,1,0.0,0.6610687022900763,Neither,49,0.0,0.0,0.0,1,0,2.832629258614399
50,6.9,33.54558081464501,95352.29082600196,-8.0,0,2001-01-03 02:00:00-08:00,3,2,0.0,0.6610687022900763,Neither,50,0.0,0.0,0.0,2,0,3.746380632360979
51,6.3,34.743637272310906,95352.29082600196,-8.1,0,2001-01-03 03:00:00-08:00,3,3,0.0,0.6610687022900763,Neither,51,0.0,0.0,0.0,3,1,3.746380632360979
