,1,5,25,50,75,95,99,date
0,1.473878484148372e-06,1.5429983761805488e-06,2.5749824601462024e-06,3.7834155364180333e-06,9.905980846269813e-06,2.779205597107648e-05,2.9413313441182254e-05,1960-01-01
1,1.2074048299837162e-06,2.1056605419289558e-06,5.136975346431427e-06,9.095983841689304e-06,1.758037251420319e-05,2.2589997752220366e-05,2.3868640200817024e-05,1960-02-01
2,2.2899458554093146e-06,2.4938785600170378e-06,3.8067487366788555e-06,8.446611900581047e-06,1.3325013242138084e-05,1.5943689550113047e-05,1.6929823332247906e-05,1960-03-01
3,3.8336961409868326e-07,1.102728553803445e-06,5.090461456802586e-06,7.860206096665934e-06,1.2734284609905444e-05,2.0719559142889917e-05,2.187931171647506e-05,1960-04-01
4,3.8912949491987096e-07,5.105271355887454e-07,3.021148174298105e-06,6.702159907945315e-06,1.1011254855475272e-05,1.644972094254626e-05,1.7830554033935185e-05,1960-05-01
5,9.93863121721006e-07,1.3728529609124964e-06,2.3857786572989426e-06,4.530263481683505e-06,1.0776208227980533e-05,3.0928781825423344e-05,3.941433592444809e-05,1960-06-01
6,4.7282906422196914e-07,8.763405688227978e-07,3.0520936604716553e-06,4.8757744934846414e-06,6.277276384025754e-06,7.052736737023223e-06,7.302326785065816e-06,1960-07-01
7,2.815221584739903e-07,6.755490140619714e-07,2.284432582655427e-06,3.2005661978473654e-06,5.315398198035837e-06,8.502212699568188e-06,9.492988779129517e-06,1960-08-01
8,1.0341726181195555e-06,1.2593819462836109e-06,2.205425545298567e-06,3.2551441790928948e-06,5.450530125017394e-06,1.594436930645315e-05,1.8604698461786025e-05,1960-09-01
9,4.777651788572257e-06,4.810499808627355e-06,5.290497483656509e-06,6.195665264385752e-06,7.036900342427543e-06,1.4798879556110473e-05,1.7632151893849366e-05,1960-10-01
10,1.8227663474590374e-06,2.2784301734191104e-06,3.5913368492401787e-06,7.956408353493316e-06,9.395278993906686e-06,1.4852363801765022e-05,1.61961453522963e-05,1960-11-01
11,7.530400222321989e-07,1.4992265761293312e-06,3.287964545961586e-06,7.579066959806369e-06,1.8769825146591756e-05,2.7406024128140412e-05,2.9895175648562143e-05,1960-12-01
12,4.785959029618427e-07,1.071280327380464e-06,4.166439737218752e-06,7.1671629484626465e-06,1.4562781188942608e-05,1.8286770500708372e-05,1.8311001767870038e-05,1961-01-01
13,1.0628837310378003e-06,1.277701909430107e-06,4.20386086830149e-06,8.788779041424277e-06,1.3002584637433756e-05,1.7778517849365014e-05,1.957918122570845e-05,1961-02-01
14,1.7095352598062163e-06,1.7970050805615758e-06,2.458144535921747e-06,4.04354204874835e-06,7.470264336006949e-06,1.5986567018444468e-05,1.9599328575168325e-05,1961-03-01
15,1.6677134033216135e-06,1.891844379997565e-06,5.359143017358292e-06,7.566560725535965e-06,1.1343940741426195e-05,2.577357572590699e-05,2.8734039042319636e-05,1961-04-01
16,5.334987645255751e-06,5.438846301331068e-06,6.317078145912092e-06,8.684271051606629e-06,2.5055882815649966e-05,3.929980575776426e-05,4.135760853387182e-05,1961-05-01
17,2.6139166863003994e-07,3.3783091595296356e-07,1.692379655082732e-06,6.303879786173638e-06,1.0451795560584287e-05,1.1315999563521472e-05,1.1319278037262848e-05,1961-06-01
18,2.968266088032579e-07,5.590258425058893e-07,1.6888307357021404e-06,3.221095767003135e-06,6.434814054046001e-06,8.160818492797261e-06,8.597206547165114e-06,1961-07-01
19,4.180413708354536e-07,4.2942143920754464e-07,8.761256609091106e-07,1.4901349345564086e-06,3.184380489074101e-06,6.2877170421415915e-06,7.580852616229093e-06,1961-08-01
20,2.2232865745763775e-07,2.4185701050782884e-07,3.779308386242519e-07,3.459125764493365e-06,4.29571662152739e-06,5.589315173892827e-06,6.0659871496682166e-06,1961-09-01
21,2.6051992608699947e-06,2.859000596799888e-06,3.840364001916896e-06,1.024679295369424e-05,1.2407267149683321e-05,2.3688372402830274e-05,2.833880005709943e-05,1961-10-01
22,2.1859942251012398e-07,2.915241196888019e-07,1.2990916289368215e-06,3.3114612278950517e-06,4.5066532265991555e-06,1.918734933497034e-05,2.4751479522819856e-05,1961-11-01
23,1.087270625248493e-06,1.2096533964722767e-06,2.440352403709767e-06,3.909171255145338e-06,7.045246661618876e-06,1.1657568029477259e-05,1.2312596591073088e-05,1961-12-01
24,5.790132365746105e-07,6.256283825223363e-07,7.653400331264493e-07,1.9189832869415113e-06,1.2232227390995831e-05,2.0467576632654524e-05,2.1577605093625606e-05,1962-01-01
