,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,13.6,100.0,100731.22832546737,13.6,0,1977-01-01 00:00:00-08:00,1,0,0.0,0.4741659886086249,Neither,0,0.0,0.0,0.0,7,7,1.5958320489944098
1,13.6,96.6677186453818,100831.22832546737,13.1,0,1977-01-01 01:00:00-08:00,1,1,0.0,0.4741659886086249,Neither,1,0.0,0.0,0.0,8,8,4.361940933918053
2,13.1,96.6677186453818,100731.22832546737,12.6,0,1977-01-01 02:00:00-08:00,1,2,0.0,0.4741659886086249,Neither,2,0.0,0.0,0.0,5,5,2.234164868592174
3,12.4,100.0,100731.22832546737,12.4,0,1977-01-01 03:00:00-08:00,1,3,0.0,0.4741659886086249,Neither,3,0.0,0.0,0.0,2,2,0.0
4,12.4,96.6677186453818,100731.22832546737,11.9,0,1977-01-01 04:00:00-08:00,1,4,0.0,0.4741659886086249,Neither,4,0.0,0.0,0.0,5,5,2.7661088849236437
5,11.8,100.0,100831.22832546737,11.8,0,1977-01-01 05:00:00-08:00,1,5,0.0,0.4741659886086249,Neither,5,0.0,0.0,0.0,4,4,2.234164868592174
6,11.1,100.0,100931.22832546737,11.1,0,1977-01-01 06:00:00-08:00,1,6,0.0,0.4741659886086249,Sunrise,6,0.2975206611570248,0.0,0.0,4,4,1.5958320489944098
7,11.8,100.0,100931.22832546737,11.8,36,1977-01-01 07:00:00-08:00,1,7,0.2975206611570248,0.4741659886086249,Neither,7,0.18662952646239556,36.0,0.0,6,6,3.298052901255114
8,14.3,93.29558892519407,101031.22832546737,13.2,134,1977-01-01 08:00:00-08:00,1,8,0.3732590529247911,0.4741659886086249,Neither,8,0.3604720422902241,105.58235167713585,329.9844887253094,7,7,3.298052901255114
9,14.9,93.29558892519407,101031.22832546737,13.8,235,1977-01-01 09:00:00-08:00,1,9,0.42342342342342343,0.4741659886086249,Neither,9,0.47522981506268414,43.76885005352864,748.1176593131629,7,7,1.5958320489944098
10,15.6,87.67537272488117,100931.22832546737,13.6,400,1977-01-01 10:00:00-08:00,1,10,0.5772005772005772,0.4741659886086249,Neither,10,0.46138405771433294,58.4901856587295,866.0478448962293,8,7,2.7661088849236437
11,16.2,87.67537272488117,100831.22832546737,14.2,381,1977-01-01 11:00:00-08:00,1,11,0.49934469200524245,0.4741659886086249,Neither,11,0.5033565468348077,191.93179218166682,384.57376540694406,9,7,2.234164868592174
12,17.5,80.9311132845057,100831.22832546737,14.2,326,1977-01-01 12:00:00-08:00,1,12,0.4295125164690382,0.4741659886086249,Neither,12,0.5150232231956037,249.87228586216054,140.7875072941004,10,7,1.5958320489944098
13,17.5,87.67537272488117,100831.22832546737,15.4,363,1977-01-01 13:00:00-08:00,1,13,0.5307017543859649,0.4741659886086249,Neither,13,0.4994142988999535,244.9611631986769,219.30431492372514,10,7,3.298052901255114
