,1,5,25,50,75,95,99,date
0,2.5157285563182084e-06,2.9365055524976924e-06,5.6372971357632196e-06,8.401917511946522e-06,1.1084884135925677e-05,1.7181265957333376e-05,1.8567397219158008e-05,2015-01-01
1,5.462380090648366e-07,5.992992214487458e-07,1.722683663274438e-06,5.55872020413517e-06,1.0415646556793945e-05,2.5150858982669877e-05,2.979280214276513e-05,2015-02-01
2,3.6970207611375376e-06,4.078155666320527e-06,5.719198497899924e-06,6.353275693982141e-06,1.7957456748263212e-05,3.169808751408709e-05,3.275093618867686e-05,2015-03-01
3,4.424371245477232e-06,4.439069152795128e-06,5.8198318129143445e-06,7.508703674830031e-06,1.4491693036688957e-05,2.1943288811598897e-05,2.4395658183493648e-05,2015-04-01
4,1.7191660208482063e-06,2.2865489427204014e-06,3.996975465270225e-06,7.26364805814228e-06,1.400953487973311e-05,1.6515744755452032e-05,1.692372123216046e-05,2015-05-01
5,1.1279256091256684e-06,1.5570777691209515e-06,4.4489656829682644e-06,6.3841589508228935e-06,1.1424840977269923e-05,1.35832761770871e-05,1.3691894509975099e-05,2015-06-01
6,1.2163853270408255e-07,1.8554805976123136e-07,5.333327095513596e-07,3.1926240353641333e-06,8.775360129220644e-06,2.448758314130826e-05,2.9869025165680786e-05,2015-07-01
7,3.577336400439891e-07,7.966817605620237e-07,3.2522223136766115e-06,4.915519639325794e-06,5.9256842632748885e-06,3.776660823859853e-05,4.835797170017029e-05,2015-08-01
8,4.2078555793523277e-07,1.003081541739448e-06,4.469623490876984e-06,6.6170400714327116e-06,1.4357383861351991e-05,4.2793791362782916e-05,5.0820506148738764e-05,2015-09-01
9,1.1734493386938992e-06,1.1966185070377834e-06,3.40950890631575e-06,8.947290552896447e-06,2.0809805391763803e-05,3.0798360421613316e-05,3.308341609226772e-05,2015-10-01
10,1.9218038505641745e-06,2.0206711269565857e-06,2.9696823276026407e-06,4.426380655786488e-06,9.607452284399187e-06,1.96327561752696e-05,2.1803590734634777e-05,2015-11-01
11,2.040091385424603e-06,2.373210918449331e-06,3.7588345094263786e-06,8.169544344127644e-06,1.0495555216039065e-05,1.931933184096123e-05,2.2208665541256775e-05,2015-12-01
12,6.403476913874329e-07,7.47969500025647e-07,1.2309586168157693e-06,2.0614163531718077e-06,5.305391027832229e-06,1.308118862652918e-05,1.4774042756471313e-05,2016-01-01
13,3.9183653086638517e-07,5.333858865697039e-07,1.2102145205972192e-06,3.31211049342528e-06,6.360419092743541e-06,1.0150483558390986e-05,1.0802772649185498e-05,2016-02-01
14,2.981130711532387e-07,3.7389014835298444e-07,2.971710159727081e-06,1.1910686225746758e-05,1.5650445675419178e-05,1.9072961549682077e-05,1.9533230624801944e-05,2016-03-01
15,3.555434327608964e-06,3.582583235584025e-06,4.059113280163729e-06,9.282533937948756e-06,1.3079743894195417e-05,1.627961082704132e-05,1.735776411806e-05,2016-04-01
16,3.1579404185322346e-06,3.509151656544418e-06,7.1738975293555995e-06,9.894462891679723e-06,1.2091665666957851e-05,1.558199992359732e-05,1.62085849478899e-05,2016-05-01
17,1.61923332598235e-06,1.8306039692106425e-06,3.863670940518205e-06,8.006467396626249e-06,1.548382215332822e-05,2.2211856776266356e-05,2.301224645634647e-05,2016-06-01
18,1.5768760204082355e-06,1.6034606233006344e-06,1.8940215795737458e-06,5.06282776768785e-06,5.320696573107853e-06,8.814637567411406e-06,9.954813231161096e-06,2016-07-01
19,1.178324187094404e-06,1.2720827044176986e-06,1.765607180459483e-06,2.9175162126193754e-06,5.508070898940787e-06,8.002604181456263e-06,8.230005978475674e-06,2016-08-01
20,3.181528481945861e-06,3.4095099181286058e-06,4.731129592983052e-06,6.129643679742003e-06,1.530682629891089e-05,2.1631202798744195e-05,2.23341454329784e-05,2016-09-01
21,1.2418198662089708e-06,1.3894172411710316e-06,2.0307253407736425e-06,6.917229711689288e-06,1.510746687927167e-05,2.3932040130603122e-05,2.5231595718651078e-05,2016-10-01
22,1.4613067560276252e-06,1.803197710614768e-06,3.664481937448727e-06,5.538356617762474e-06,1.0445861335028894e-05,2.27253969569574e-05,2.6627776642271776e-05,2016-11-01
23,3.038127292711579e-06,3.056619266317284e-06,3.201615072612185e-06,3.945313437725417e-06,1.5574366898363223e-05,2.027384398388676e-05,2.1100119774928316e-05,2016-12-01
24,2.4897044022509366e-06,3.76561429220601e-06,8.115989430734771e-06,1.0769022992462851e-05,1.3517190836864756e-05,1.8841667406377378e-05,2.0627875419449988e-05,2017-01-01
25,1.1440269872764476e-06,1.4576697822121787e-06,2.629156597322435e-06,3.6803501188842347e-06,1.204229761242459e-05,1.9755750690819694e-05,2.0518750097835433e-05,2017-02-01
26,3.4870561592015294e-07,4.8017843425896e-07,1.4541782888954913e-06,3.668465751616168e-06,3.977224650952849e-06,1.293075210924143e-05,1.592117483596666e-05,2017-03-01
27,1.314954586177919e-06,2.4865119371497713e-06,8.42333179207344e-06,1.2285306183912326e-05,2.507777389837429e-05,3.85871397156734e-05,4.003677764558233e-05,2017-04-01
28,5.521717330339016e-06,5.7502766594552675e-06,7.3307041930092964e-06,1.0934765668935142e-05,1.534370858280454e-05,3.375826727278762e-05,3.907489142875418e-05,2017-05-01
29,1.4210153881322186e-06,1.947435714555468e-06,4.24109327923361e-06,6.4968767219397705e-06,8.292294069178752e-06,1.8992859077116e-05,2.2196392346813803e-05,2017-06-01
30,1.570046282495242e-07,5.44583551231881e-07,1.7310466091657872e-06,3.949287020077463e-06,9.882514405035181e-06,1.3578700509242477e-05,1.4596648379665566e-05,2017-07-01
31,1.7084355107499506e-07,1.9354221620915267e-07,4.566238516190424e-07,1.8068775489155087e-06,3.2287587146129226e-06,6.724883223796493e-06,7.748164953227385e-06,2017-08-01
32,3.551287807113113e-07,5.447426417504176e-07,1.8414751821183017e-06,3.3397600418538786e-06,5.638706625177292e-06,1.3680581014341434e-05,1.596619220435968e-05,2017-09-01
33,5.10620566274156e-07,9.890329693007516e-07,4.226580472277419e-06,9.048404535860755e-06,1.1263989108556416e-05,3.0341860110638646e-05,3.6862413253402324e-05,2017-10-01
34,1.5569998140563258e-06,1.6854273781063966e-06,2.0973585606043343e-06,2.626199147925945e-06,8.514817409377429e-06,1.726038253764272e-05,1.9300867152196584e-05,2017-11-01
35,1.4338350911202724e-06,1.4675677221021032e-06,1.7360108017783205e-06,3.152127874272992e-06,1.1025016647181474e-05,2.6249970233038753e-05,3.080901287830783e-05,2017-12-01
36,2.611912436805142e-06,2.7553146310310695e-06,3.566841655811004e-06,7.3505184445821214e-06,1.2114240234950557e-05,1.642718507355312e-05,1.6492020404257345e-05,2018-01-01
