,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,15.0,100.0,100739.35625389479,15.0,0,1977-01-01 00:00:00,1,0,0.0,0.45911310008136696,Neither,0,0.0,0.058005361126205475,169.05949982927905,-79.05949982927905,0,,7,7,1.5650374616814813
1,15.0,100.0,100839.35625389479,15.0,0,1977-01-01 01:00:00,1,1,0.0,0.45911310008136696,Neither,1,0.0,1.0580053611262055,162.39995023470712,-72.39995023470712,0,,8,8,4.277769061929382
2,14.4,100.0,100739.35625389479,14.4,0,1977-01-01 02:00:00,1,2,0.0,0.45911310008136696,Neither,2,0.0,2.0580053611262055,150.98602718177332,-60.98602718177332,0,,5,5,2.191052446354074
3,13.8,100.0,100739.35625389479,13.8,0,1977-01-01 03:00:00,1,3,0.0,0.45911310008136696,Neither,3,0.0,3.0580053611262055,138.686751554082,-48.68675155408201,0,,2,2,0.0
4,13.8,100.0,100739.35625389479,13.8,0,1977-01-01 04:00:00,1,4,0.0,0.45911310008136696,Neither,4,0.0,4.058005361126206,126.25772953210179,-36.25772953210179,0,,5,5,2.7127316002479014
5,13.3,100.0,100839.35625389479,13.3,0,1977-01-01 05:00:00,1,5,0.0,0.45911310008136696,Neither,5,0.0,5.058005361126206,113.97217820967248,-23.972178209672478,0,,4,4,2.191052446354074
6,12.7,100.0,100939.35625389479,12.7,0,1977-01-01 06:00:00,1,6,0.0,0.45911310008136696,Sunrise,6,0.2892561983471074,6.058005361126206,102.02502474773385,-12.025024747733852,0,,4,4,1.5650374616814813
7,13.3,100.0,100939.35625389479,13.3,35,1977-01-01 07:00:00,1,7,0.2892561983471074,0.45911310008136696,Neither,7,0.181058495821727,7.058005361126206,90.63225960136165,-0.6322596013616533,32,,6,6,3.234410754141728
8,15.6,97.33673737333672,101039.35625389479,15.2,130,1977-01-01 08:00:00,1,8,0.362116991643454,0.45911310008136696,Neither,8,0.3500335045789591,8.058005361126206,80.08519972656548,9.914800273434523,110,362.72013521262886,7,7,3.234410754141728
9,16.1,97.33673737333672,101039.35625389479,15.7,228,1977-01-01 09:00:00,1,9,0.41081081081081083,0.45911310008136696,Neither,9,0.4602792750425062,9.058005361126206,70.80171090163194,19.198289098368065,180,306.9942097459806,7,7,1.5650374616814813
10,16.7,91.47307849542487,100939.35625389479,15.3,387,1977-01-01 10:00:00,1,10,0.5584415584415584,0.45911310008136696,Neither,10,0.4472140554709362,10.058005361126206,63.36787908946003,26.632120910539967,233,527.676580898514,8,7,2.7127316002479014
11,17.2,91.47307849542487,100839.35625389479,15.8,369,1977-01-01 11:00:00,1,11,0.4836173001310616,0.45911310008136696,Neither,11,0.48738942217203085,11.058005361126206,58.51235005965131,31.48764994034869,261,224.88619343921883,9,7,2.191052446354074
12,18.4,84.43668784193065,100839.35625389479,15.7,316,1977-01-01 12:00:00,1,12,0.4163372859025033,0.45911310008136696,Neither,12,0.4983875974339519,12.058005361126206,56.909899405936976,33.090100594063024,249,99.87668762406777,10,7,1.5650374616814813
13,18.4,91.47307849542487,100839.35625389479,17.0,351,1977-01-01 13:00:00,1,13,0.5131578947368421,0.45911310008136696,Neither,13,0.48358453943923685,13.058005361126206,58.830162183960546,31.169837816039454,233,163.18926193437787,10,7,3.234410754141728
14,19.5,87.95488316867775,100939.35625389479,17.5,298,1977-01-01 14:00:00,1,14,0.5508317929759704,0.45911310008136696,Neither,14,0.4095201238390093,14.058005361126206,63.95316305364001,26.04683694635999,184,216.90082451147657,5,3,4.277769061929382
15,19.5,87.95488316867775,100939.35625389479,17.5,104,1977-01-01 15:00:00,1,15,0.3058823529411765,0.45911310008136696,Neither,15,0.4684852034186783,15.058005361126206,71.58549670269639,18.41450329730361,91,0.0,10,4,4.277769061929382
16,17.8,94.99127382217198,100939.35625389479,17.0,39,1977-01-01 16:00:00,1,16,0.38613861386138615,0.45911310008136696,Sunset,16,0.3058823529411765,16.058005361126206,81.00664478505259,8.993355214947414,32,0.0,7,3,3.7560899080355554
17,17.8,91.47307849542487,101039.35625389479,16.4,0,1977-01-01 17:00:00,1,17,0.0,0.45911310008136696,Neither,17,0.19306930693069307,17.058005361126206,91.64651208913929,-1.6465120891392928,0,,5,4,4.277769061929382
18,17.2,98.50946914891908,101039.35625389479,17.0,0,1977-01-01 18:00:00,1,18,0.0,0.45911310008136696,Neither,18,0.0,18.058005361126206,103.10080326435302,-13.100803264353019,0,,2,2,4.277769061929382
19,17.2,98.50946914891908,101039.35625389479,17.0,0,1977-01-01 19:00:00,1,19,0.0,0.45911310008136696,Neither,19,0.0,19.058005361126206,115.08697555475857,-25.086975554758567,0,,2,2,3.234410754141728
20,16.7,97.33673737333672,101139.35625389479,16.3,0,1977-01-01 20:00:00,1,20,0.0,0.45911310008136696,Neither,20,0.0,20.058005361126206,127.39293065144992,-37.392930651449916,0,,2,2,2.191052446354074
21,15.6,100.0,101139.35625389479,15.6,0,1977-01-01 21:00:00,1,21,0.0,0.45911310008136696,Neither,21,0.0,21.058005361126206,139.82104016923563,-49.82104016923563,0,,1,1,0.0
22,15.6,100.0,101239.35625389479,15.6,0,1977-01-01 22:00:00,1,22,0.0,0.45911310008136696,Neither,22,0.0,22.058005361126206,152.07737479539594,-62.07737479539594,0,,1,1,0.0
23,15.0,100.0,101239.35625389479,15.0,0,1977-01-01 23:00:00,1,23,0.0,0.45911310008136696,Neither,23,0.0,23.058005361126206,163.2907837023463,-73.29078370234629,0,,4,4,0.0
24,15.0,100.0,101239.35625389479,15.0,0,1977-01-02 00:00:00,2,0,0.0,0.2683965132779242,Neither,24,0.0,0.05055745537994635,168.9805838252369,-78.98058382523689,0,,10,10,0.0
25,14.4,100.0,101239.35625389479,14.4,0,1977-01-02 01:00:00,2,1,0.0,0.2683965132779242,Neither,25,0.0,1.0505574553799464,162.4235206948464,-72.42352069484639,0,,6,6,1.5650374616814813
