,1,5,25,50,75,95,99,date
0,1.4037368441677244e-06,1.742865072174027e-06,4.421266680765257e-06,8.500941476086155e-06,1.878241118902224e-05,3.523641535139176e-05,3.919492017303127e-05,2015-01-01
1,1.4436432343245544e-06,1.4603757449549449e-06,1.6941751255217241e-06,3.5123518955515465e-06,5.638805760099785e-06,1.4069741791900005e-05,1.6854146942932853e-05,2015-02-01
2,1.2521240682872303e-06,1.4284336089076533e-06,3.2736218145146267e-06,8.081842679530382e-06,1.0021402886195574e-05,1.3340511395654174e-05,1.4124881163297685e-05,2015-03-01
3,4.584497655741871e-06,4.72984575026203e-06,6.634419833062566e-06,8.204940968425944e-06,1.4681135780847399e-05,2.2552616246684917e-05,2.328468686755514e-05,2015-04-01
4,5.433790715869691e-07,9.374657906846552e-07,3.445544166424952e-06,7.215223831735784e-06,1.3586685327027226e-05,1.554662831040332e-05,1.6181989230972246e-05,2015-05-01
5,1.3091316276359065e-07,1.4934315544223865e-07,9.278659689471169e-07,3.318428980492172e-06,3.884895704686642e-06,1.1279123873464407e-05,1.3700865356440767e-05,2015-06-01
6,5.951516754976183e-08,7.484825914616522e-08,2.2157019685664636e-07,5.779439788966556e-07,3.5147030530424672e-06,9.345411854155824e-06,1.0645270413078831e-05,2015-07-01
7,5.719300169459987e-08,1.8697999628614074e-07,5.918334124999092e-07,2.6515533591009444e-06,4.384291969472542e-06,7.604549955431136e-06,8.548045134375568e-06,2015-08-01
8,7.232411815039087e-07,1.1686881350669865e-06,3.830209607258439e-06,7.123840532585746e-06,3.1603511388311745e-05,5.800024882773869e-05,5.872097899555229e-05,2015-09-01
9,7.144992414396256e-06,8.113561489153653e-06,1.4814129826845601e-05,2.0330469851614907e-05,2.1162280972930603e-05,2.5684198953968002e-05,2.6955576940963508e-05,2015-10-01
10,7.776791233027326e-07,1.2011295837055514e-06,2.920556312346889e-06,1.1608555723796599e-05,1.8569907297205646e-05,3.6772930980077934e-05,4.125062136154155e-05,2015-11-01
11,9.908092761179437e-07,2.9106628062436362e-06,1.1130513030366274e-05,1.4560588169842958e-05,2.4394080355705228e-05,3.20141685733688e-05,3.292883022368187e-05,2015-12-01
12,1.6450827342850973e-06,2.282752552673628e-06,5.999618224450387e-06,7.89365094533423e-06,1.0367398317612242e-05,1.3566407687903846e-05,1.4095198821451048e-05,2016-01-01
13,1.07089366110813e-06,1.199369000914885e-06,1.690985698132863e-06,1.8782895949698286e-06,5.222355980549764e-06,1.634022846701554e-05,1.9154853216605257e-05,2016-02-01
14,4.438795781425143e-07,4.65371192603925e-07,1.0800964957979886e-06,9.732210855872836e-06,1.5006889498181408e-05,1.609542396181496e-05,1.6115822982101237e-05,2016-03-01
15,1.1681446017064447e-06,1.9325155903970883e-06,6.0777745147788664e-06,8.195067493943498e-06,1.801138569135219e-05,1.9656554286484607e-05,2.010167700063903e-05,2016-04-01
16,2.3898610841399665e-08,5.1274165890902176e-08,1.8276760798130454e-06,5.465502454171656e-06,7.305859526240965e-06,1.5928615812299534e-05,1.8364252591709368e-05,2016-05-01
17,2.6361253560480694e-07,2.9257238622903967e-07,4.123126586819126e-07,1.4618472050642595e-06,5.632591864923597e-06,9.33131500460149e-06,1.0075533164126681e-05,2016-06-01
18,1.332791151753554e-07,1.3655659074629513e-07,2.0097293429444107e-07,3.025421335678402e-07,1.730198505356384e-06,3.623142106334852e-06,4.083918406649899e-06,2016-07-01
19,8.280383937631088e-08,2.0048084010682037e-07,6.633397049427003e-07,2.034757017099764e-06,3.509830321490881e-06,4.1578729906177616e-06,4.216638208163203e-06,2016-08-01
20,1.3808736298415175e-07,3.4214581887681563e-07,1.6022935085402423e-06,4.67446352558909e-06,1.137893195846118e-05,1.849872005550423e-05,2.0923572774336203e-05,2016-09-01
21,7.647697373158737e-07,1.3493198309788568e-06,4.479892254494189e-06,1.1943486242671497e-05,1.3804332411382347e-05,1.5542295841441955e-05,1.5871401228650938e-05,2016-10-01
22,2.381414178671548e-06,3.3373097721778325e-06,7.063154043862596e-06,1.0297386324964464e-05,2.6197792976745404e-05,4.656463643186724e-05,5.149898774106986e-05,2016-11-01
23,2.0542503216347543e-06,2.5247332587241546e-06,4.388574780023191e-06,6.919176485098433e-06,1.8248309288537712e-05,6.404545692930693e-05,7.588254604343089e-05,2016-12-01
24,2.770757905636856e-06,3.1680098572905993e-06,4.369974021756207e-06,7.619993084517773e-06,1.3369505722948816e-05,2.1263969574647487e-05,2.265405015350552e-05,2017-01-01
25,1.0754177583294223e-06,1.4131752777757355e-06,4.595459245138045e-06,2.37062486121431e-05,3.0413924832828343e-05,3.676099768199492e-05,3.7079835674376224e-05,2017-02-01
26,1.6169423730616475e-07,2.199670078084637e-07,1.0602481665955565e-06,2.753590479187551e-06,4.525589133663743e-06,1.6771586069808097e-05,2.050086657618521e-05,2017-03-01
27,3.8254541550486466e-07,4.553980147647962e-07,6.706353303798096e-07,2.9013515359110897e-06,9.142755970970029e-06,2.645232834765919e-05,3.177546070219249e-05,2017-04-01
28,6.605160831441027e-07,1.3713045689200954e-06,3.97541327856743e-06,4.873254056292353e-06,2.323820262972731e-05,2.738449693424627e-05,2.7730840665753932e-05,2017-05-01
29,1.9206525394110944e-07,3.9003489291644657e-07,1.4038730569154723e-06,2.3086286091711372e-06,5.954910648142686e-06,1.0544976566961845e-05,1.1927481018574323e-05,2017-06-01
30,4.92539867060719e-09,2.462243021584144e-08,1.417100037315322e-07,2.2129596288777975e-07,7.823388443739532e-07,7.217325935471301e-06,9.42116126452674e-06,2017-07-01
31,1.194128579129483e-07,1.2350293232543663e-07,1.4380778168288089e-07,2.2539317967584793e-07,7.767087026877562e-07,9.659218551405494e-06,1.2554218685636437e-05,2017-08-01
32,3.790899040723162e-07,4.4951824520467196e-07,1.242972729187386e-06,5.102675004309276e-06,1.0103753993462306e-05,1.17382811367861e-05,1.2134517710364888e-05,2017-09-01
33,4.836432526644785e-06,5.2742570915143006e-06,7.214052629933576e-06,8.615360457042698e-06,1.5233157682814635e-05,2.0921737086609937e-05,2.1519592919503336e-05,2017-10-01
34,6.589420445379803e-07,1.247246655111667e-06,2.9841072546332725e-06,1.1309874025755562e-05,1.2417837751854677e-05,1.5654615526727864e-05,1.6535543509235136e-05,2017-11-01
35,9.383507028815075e-07,1.041817807845291e-06,2.9380752835095336e-06,6.260906957322732e-06,2.202516498073237e-05,4.352976375230354e-05,4.9018518147931886e-05,2017-12-01
36,4.300380696804496e-06,4.624141092790524e-06,6.723070782754803e-06,8.079864528554026e-06,2.3133578906708863e-05,3.205606408300809e-05,3.4017267025774345e-05,2018-01-01
37,6.862611307951739e-06,7.093100657584728e-06,7.780799478496192e-06,9.105081517191138e-06,1.646681903366698e-05,3.087774693995014e-05,3.578050414944299e-05,2018-02-01
38,1.3035934034633105e-06,2.9150610544093073e-06,8.521041536369012e-06,1.263269496121211e-05,2.4754526748438366e-05,3.155562262691092e-05,3.17098278173944e-05,2018-03-01
39,2.70103694788304e-07,3.0682851104302244e-07,8.179320190038197e-07,1.3024758800384006e-06,6.409200295820483e-06,1.1411086143198189e-05,1.2276084798941155e-05,2018-04-01
40,5.040133601141861e-07,5.414342467702227e-07,1.488812415573193e-06,2.596747890493134e-06,5.994265166009427e-06,6.2579347741120735e-06,6.294124623309471e-06,2018-05-01
41,7.230432618143823e-07,8.852426788052981e-07,1.753747426391783e-06,3.4500471883802675e-06,4.122161158193194e-06,1.4125271854936717e-05,1.7370584218951985e-05,2018-06-01
42,8.217582845304605e-08,9.825741997815385e-08,2.9351583918924007e-07,1.3368971849558875e-06,1.968093783943914e-06,3.042437629119376e-06,3.2075254330266032e-06,2018-07-01
43,5.5729777059809746e-08,5.789094537078654e-08,1.0412648521196388e-07,1.8594765833768179e-06,2.726014145082445e-06,3.3500810332043323e-06,3.477080290394951e-06,2018-08-01
44,1.6669910991140573e-07,4.456974110667034e-07,1.4395942002920492e-06,2.9007660486968234e-06,8.996471024147468e-06,1.3058127933618378e-05,1.3490894980350275e-05,2018-09-01
45,5.688150886271615e-06,5.690723082807381e-06,6.586589051948977e-06,9.3279049906414e-06,1.820394209062215e-05,1.9721837088582105e-05,2.0098602763027885e-05,2018-10-01
