,1,5,25,50,75,95,99,date
0,5.186521944011706e-07,2.4198762378802036e-06,7.973066658450989e-06,1.5036149761726847e-05,1.8274271496920846e-05,2.5542866296746063e-05,2.7994007996312573e-05,2015-01-01
1,4.855638753724634e-06,4.963311175743001e-06,7.218225050564797e-06,1.3357177522266284e-05,2.6097341105923988e-05,6.709953704557846e-05,7.590719927975442e-05,2015-02-01
2,3.2912158576436923e-06,3.608520751186006e-06,7.639940918124921e-06,1.182459709525574e-05,1.6465909084217856e-05,3.1603298975824135e-05,3.72118874474836e-05,2015-03-01
3,3.2504736441296703e-06,3.556952685812576e-06,6.7016093225902296e-06,1.6100356788228964e-05,2.10056132345926e-05,3.244950794396572e-05,3.568218440705095e-05,2015-04-01
4,2.1023773030037782e-07,6.195923745622168e-07,4.825272014841175e-06,7.689420272072311e-06,1.2464331121009309e-05,1.6623200963294945e-05,1.800769146029779e-05,2015-05-01
5,3.816847157622761e-07,8.223311539268253e-07,3.915076320026856e-06,7.043539881124161e-06,9.011424026539316e-06,2.4493376940881707e-05,3.012562242474814e-05,2015-06-01
6,5.738686570566642e-07,6.24537329940722e-07,1.9332970140339967e-06,3.581845930966665e-06,8.157038223544077e-06,1.0966592662953188e-05,1.1353783365848358e-05,2015-07-01
7,7.758425518034075e-08,1.697650734655554e-07,1.6023346276483608e-06,5.760124622611329e-06,1.0381215361121576e-05,2.3836647051211907e-05,2.5842786744760815e-05,2015-08-01
8,1.0014196476504367e-06,1.296734794209442e-06,2.297498667758191e-06,7.515702691307524e-06,1.3604564401248354e-05,2.006844197239843e-05,2.0740710406244035e-05,2015-09-01
9,5.41099347628915e-06,6.295156003943702e-06,8.680865676069516e-06,1.073423618436209e-05,1.3462401966535253e-05,1.9195053664589064e-05,2.0640647690015613e-05,2015-10-01
10,3.8626215336989845e-06,3.972149397668545e-06,4.836510129280214e-06,1.2321368558332324e-05,2.215362837887369e-05,3.535290143190649e-05,4.089782272785669e-05,2015-11-01
11,1.1077349995503027e-06,1.20889268373503e-06,1.246772359309034e-05,1.7340144950139802e-05,2.0518668407021323e-05,2.5954734701372212e-05,2.7810279534605796e-05,2015-12-01
12,1.0110861092016424e-06,1.859714001284374e-06,4.84801978473115e-06,1.1792821169365197e-05,1.8567433016869472e-05,2.7645128920994462e-05,2.9086454869684527e-05,2016-01-01
13,6.760637000979843e-07,9.613524952101217e-07,1.9748455599710724e-06,4.630897592505789e-06,1.0900361303356476e-05,3.4537142209956056e-05,4.3817706582558445e-05,2016-02-01
14,1.284895679418696e-06,1.9032274394703565e-06,5.567848120335839e-06,7.713076684012776e-06,1.5113344943529228e-05,4.006975377706111e-05,4.5355096553976174e-05,2016-03-01
15,1.5735884585410534e-06,2.511717900688382e-06,7.792602900735801e-06,1.348681826129905e-05,2.8572948394867126e-05,3.747607333934865e-05,4.1073322499869384e-05,2016-04-01
16,6.641741447310779e-07,8.535002734788578e-07,2.072068610914357e-06,4.6029617806198075e-06,6.5877464976438205e-06,3.5759907132160134e-05,4.709936651124735e-05,2016-05-01
17,1.429192452633288e-06,1.7057505829143339e-06,2.6026705199910793e-06,1.0926964478130685e-05,1.7515308627480408e-05,2.0794788633793358e-05,2.0983604172215565e-05,2016-06-01
18,7.941244911080503e-07,8.397290088169029e-07,1.3845629212028143e-06,2.569656771811424e-06,5.3543578815151704e-06,8.462128380415378e-06,8.99376037523325e-06,2016-07-01
19,3.928722755119908e-08,1.0216766561654824e-07,5.315896203228476e-07,1.440850894596224e-06,3.5996279734717973e-06,7.083857894940592e-06,7.7256387385205e-06,2016-08-01
20,2.357674159156886e-06,2.3753489244882077e-06,4.267955205250473e-06,6.357009397106594e-06,1.0467675565450918e-05,1.6500975971212024e-05,1.7680086411928638e-05,2016-09-01
21,3.2519042019885095e-06,3.4219969279547514e-06,3.963138965445978e-06,1.0984988193740719e-05,2.3476631668017944e-05,2.4938937622209777e-05,2.540954808864626e-05,2016-10-01
22,3.548173333456362e-06,6.153966921829125e-06,1.3635160485137021e-05,2.3408580091199838e-05,3.456902686593821e-05,3.722989713423885e-05,3.823391176410951e-05,2016-11-01
23,6.370376040649717e-06,6.578846887350665e-06,7.545011953880021e-06,9.414263331564143e-06,1.4684288316857419e-05,2.8388647206156737e-05,3.3799523898778715e-05,2016-12-01
24,9.784194071471574e-07,1.0029276154455148e-06,3.374414689005789e-06,1.746379439282464e-05,2.4595765353296883e-05,3.159871275784098e-05,3.458782159214024e-05,2017-01-01
25,6.690374834761315e-06,7.161869348237815e-06,1.1175457075296436e-05,1.320074443356134e-05,1.7258046227652812e-05,3.753948140001738e-05,4.435117449247627e-05,2017-02-01
26,7.837962129997324e-07,1.229802592206397e-06,6.252934383610409e-06,1.0557310361036798e-05,1.5598264099025982e-05,3.0907213204045544e-05,3.388615301446407e-05,2017-03-01
27,8.119587204191703e-07,8.137499406757342e-07,5.553397954827233e-06,1.0610900972096715e-05,1.3911710766478791e-05,1.8124584403267364e-05,1.8525967479945393e-05,2017-04-01
28,7.650555363625245e-07,8.273755526033711e-07,1.39312663804958e-06,6.079600098019e-06,1.2657923207370914e-05,2.0966622651030774e-05,2.2464971225417683e-05,2017-05-01
29,6.976626741561632e-07,7.972740718287242e-07,2.5282943170168437e-06,4.9749621666705934e-06,9.007837888930226e-06,1.8066872053168473e-05,2.1057522080809572e-05,2017-06-01
30,2.4399240260208905e-07,4.886123122105346e-07,1.3353829615425639e-06,3.325489387862035e-06,4.59902469174267e-06,7.358203811236305e-06,8.474280666632693e-06,2017-07-01
31,8.154659845160952e-08,1.4645434909255075e-07,3.3968632351388806e-07,8.849836774516007e-07,1.2932511594954121e-06,3.962819897651568e-06,4.9354280338320665e-06,2017-08-01
32,4.873448361308874e-07,6.822765001857078e-07,1.2206959354443825e-06,1.890270937110472e-06,6.829947551523219e-06,2.808019630720081e-05,3.393674093786103e-05,2017-09-01
33,3.7692167779823647e-06,3.854604415209906e-06,9.485296914135688e-06,1.3037754797551315e-05,1.7522210328024812e-05,3.9411658144672386e-05,4.83554017409915e-05,2017-10-01
34,1.7591089920188099e-06,2.400963654736188e-06,4.8961661605062545e-06,1.4153104302749853e-05,2.575216058176011e-05,2.8414129792508903e-05,2.8627206138480687e-05,2017-11-01
35,1.9640130574316577e-06,3.525230994227969e-06,7.251308147715463e-06,1.2040721685480094e-05,3.09373572235927e-05,6.0872495669173054e-05,7.330368986004031e-05,2017-12-01
36,2.7414139731263277e-06,3.918145648640348e-06,8.178596090147039e-06,1.5374358099506935e-05,2.3315604266826995e-05,4.85565129565657e-05,5.3611587391060303e-05,2018-01-01
37,5.680029582322279e-07,1.3263087666359756e-06,5.933981867656257e-06,9.436736945644952e-06,1.291951275561587e-05,1.9641765811684304e-05,2.1495722085091983e-05,2018-02-01
38,3.1537898348688033e-06,3.8093721514087525e-06,8.511909527442185e-06,1.030197608997696e-05,1.8183753581979545e-05,2.6823920052265745e-05,2.9500004166038705e-05,2018-03-01
39,2.4259750034616446e-06,2.942121341220627e-06,4.5772791281706304e-06,1.2594577128766105e-05,2.2493867163575487e-05,5.994029088469686e-05,7.046992956020403e-05,2018-04-01
40,4.086864021246586e-07,1.668747023586548e-06,4.602655053531635e-06,7.194189265646855e-06,1.112387326429598e-05,2.20071399326116e-05,2.595312585071951e-05,2018-05-01
41,6.009139184470769e-07,7.311309246915698e-07,1.2883194813184673e-06,4.027718091492716e-06,8.780941243458074e-06,1.17163224331307e-05,1.2074635878889238e-05,2018-06-01
42,4.1516676475339414e-07,4.863573408897538e-07,6.80819198350946e-07,1.4128479506325675e-06,2.484841417071948e-06,4.947924276166305e-06,5.0045433954437615e-06,2018-07-01
43,9.354484973300715e-08,1.1687387768688495e-07,2.5046835006037327e-07,1.4200165878719417e-06,3.839407952455076e-06,8.01565156507422e-06,9.539496040815719e-06,2018-08-01
44,3.2787579328896755e-07,4.0760470341183466e-07,1.5643251600749863e-06,3.825501948995225e-06,5.780279821010481e-06,7.584375725855351e-06,8.21140662083053e-06,2018-09-01
45,4.805881635547849e-06,6.135933017503703e-06,1.3948554851594963e-05,1.7477459550718777e-05,2.3850954676163383e-05,2.944657217085478e-05,2.9542061474785443e-05,2018-10-01
46,2.0715738480703298e-06,4.075225814403894e-06,1.1479951808723854e-05,1.640687696635723e-05,2.1684402327082353e-05,2.663626501089311e-05,2.8072593540855447e-05,2018-11-01
47,3.2699780399525484e-06,4.540666293451069e-06,8.042647095862776e-06,9.932055945682805e-06,1.5512531263084384e-05,3.680763911688699e-05,4.346528061432763e-05,2018-12-01
48,5.829687434015796e-06,6.289986777119338e-06,9.105381195695372e-06,1.3644879800267518e-05,1.8913701296696672e-05,2.919917433246155e-05,3.1451490885956444e-05,2019-01-01
49,1.4991565569744124e-06,1.535702568844499e-06,1.737142611091258e-06,3.04433478959254e-06,1.4447049352384056e-05,2.6628664545569327e-05,3.0075738013692895e-05,2019-02-01
50,5.611137821688317e-06,6.648362978012301e-06,1.1201277175132418e-05,2.1452874079841422e-05,3.7498965866689105e-05,4.429718374012736e-05,4.6951408985478335e-05,2019-03-01
51,5.375041698130191e-07,1.400551853691923e-06,4.921118147649395e-06,2.3647133730264613e-05,3.486188143142499e-05,4.581551766023039e-05,4.999004711862653e-05,2019-04-01
52,3.297509160802292e-06,3.3985919117185405e-06,7.723205214915652e-06,1.1476721738290507e-05,1.3335201856534695e-05,2.4355810410270344e-05,2.8321641866568822e-05,2019-05-01
53,1.029032184760581e-06,1.249841045591893e-06,2.214405498079941e-06,3.3848139082692796e-06,1.127028053815593e-05,1.6411792830695046e-05,1.7598510939933473e-05,2019-06-01
54,1.9772774095372373e-07,3.568460456904177e-07,8.908702682219882e-07,1.6501649042766076e-06,3.389996891201008e-06,6.380766330948973e-06,6.397235988515604e-06,2019-07-01
55,1.6641106910242347e-07,3.2135161731616796e-07,7.310009522143446e-07,2.3476432033930905e-06,3.0055173851906147e-06,5.8915653198710045e-06,6.741810389030433e-06,2019-08-01
56,3.214829095554706e-07,4.1165218220839963e-07,2.2838416526838046e-06,4.267222152520844e-06,7.922726695142046e-06,1.981423042707319e-05,2.4494093804605647e-05,2019-09-01
57,6.059948759684631e-07,1.0209287779616718e-06,3.223002806862496e-06,7.931626214485732e-06,1.1438695764809381e-05,1.4328562656373833e-05,1.4409183722818853e-05,2019-10-01
58,4.1616199951022275e-06,4.184837848697498e-06,6.889870064696879e-06,9.453004622628214e-06,1.2655867749344907e-05,2.439709169266279e-05,2.755572313617449e-05,2019-11-01
59,5.285105758048302e-06,5.334601314643805e-06,6.817425855842885e-06,1.5049780813569669e-05,1.8325200471736025e-05,2.077808112517232e-05,2.1334085213311484e-05,2019-12-01
60,1.1419997520079053e-06,2.4153755759925848e-06,6.754627179361705e-06,1.3018855042901123e-05,1.8980166714754887e-05,7.5248647317494e-05,9.94181541864236e-05,2020-01-01
