,1,5,25,50,75,95,99,date
0,2.6099911028723e-05,2.6725489351520086e-05,2.8495526294136653e-05,3.510777969495393e-05,4.048522168886848e-05,4.937891499139368e-05,5.067020887508988e-05,1960-01-01
1,4.156913907991111e-06,7.878203985001165e-06,2.378151975790388e-05,3.8188978578546084e-05,4.018252730020322e-05,5.5627181245654344e-05,6.104182331910124e-05,1960-02-01
2,1.5147015255934093e-05,1.676624106039526e-05,2.778973203021451e-05,3.2743613701313734e-05,4.2865647628786974e-05,4.316868544265162e-05,4.326277259679046e-05,1960-03-01
3,1.558992966238293e-05,1.6451195460831513e-05,1.9960285953857237e-05,2.1291924895194825e-05,2.3423572656611213e-05,4.364823435025754e-05,5.0351520840195e-05,1960-04-01
4,5.472768821164209e-06,6.675879171780253e-06,1.951473291228467e-05,2.39171395151061e-05,2.943413710454479e-05,4.557758456940063e-05,5.129680434038164e-05,1960-05-01
5,1.3704637312912382e-05,1.399192879034672e-05,1.5735205579403555e-05,1.9961506040999666e-05,2.844985783667653e-05,3.471817199169891e-05,3.518351764796535e-05,1960-06-01
6,5.0192232356494065e-06,5.692918011845905e-06,1.1588484881031036e-05,1.4543391898769187e-05,1.86542442861537e-05,2.6379028531664518e-05,2.6792034732352475e-05,1960-07-01
7,2.1483355703821875e-06,4.142373381910148e-06,1.4653330936198472e-05,2.1495685359695926e-05,3.745075628103223e-05,4.985318482795264e-05,5.196635545871686e-05,1960-08-01
8,3.4755556589516353e-06,6.0645154917438056e-06,1.4425608696910786e-05,2.357663743168814e-05,3.093793247899157e-05,4.2548327655822504e-05,4.443351881491253e-05,1960-09-01
9,9.561580372974276e-06,1.1016276403097436e-05,1.4433420801651664e-05,1.6697114460839657e-05,3.376058430148987e-05,4.7169669960567257e-05,5.104916937852977e-05,1960-10-01
10,2.3324117028096224e-05,2.5497597926005257e-05,3.1646004572394304e-05,4.1110564779955894e-05,5.281170888338238e-05,6.908160066814161e-05,7.578002827358432e-05,1960-11-01
11,8.636083994133516e-06,1.1174650217071759e-05,2.2191544758243253e-05,3.5579141695052385e-05,4.235905726091005e-05,6.523953379655723e-05,6.861366746306885e-05,1960-12-01
12,1.3136310744812363e-05,1.5314446545744432e-05,2.1396327156253392e-05,3.3189704481628723e-05,5.0389422540320083e-05,5.569744880631333e-05,5.793796601210488e-05,1961-01-01
13,1.083907508473203e-05,1.1736335591194801e-05,1.630426481824543e-05,2.251006844744552e-05,4.5137963752495125e-05,6.477708666352554e-05,6.892044184496625e-05,1961-02-01
14,8.036455269575527e-06,1.0562531383584429e-05,2.228373841717257e-05,2.5333261874038726e-05,4.176310540060513e-05,4.9295762437395745e-05,5.141759756952524e-05,1961-03-01
15,1.2043914466630667e-05,1.5160629118327053e-05,2.4245593067462323e-05,2.6387644538772292e-05,3.030571906492696e-05,4.117471471545286e-05,4.303936104406602e-05,1961-04-01
16,1.1516924423631281e-05,1.2034613610012456e-05,1.6005958286768873e-05,2.2744296984456014e-05,3.02856042253552e-05,3.636648361862171e-05,3.77954092255095e-05,1961-05-01
17,9.820997902352247e-06,1.09708771105943e-05,1.6743601008784026e-05,2.2369675207301043e-05,3.153994839522056e-05,4.073775198776274e-05,4.367029760032892e-05,1961-06-01
18,3.6725067843690345e-06,5.199903682751028e-06,1.3801438853988657e-05,1.6590379345871042e-05,2.0202749965392286e-05,2.0952779232175088e-05,2.1240842834231443e-05,1961-07-01
19,3.987117820543063e-06,4.0004852280617346e-06,5.9807082379848e-06,9.215608315571444e-06,2.1307993392838398e-05,2.4179532556445334e-05,2.538582142733503e-05,1961-08-01
20,9.337189158031834e-06,1.0499963764232234e-05,1.4039925645192852e-05,1.657807115407195e-05,2.2106158667156706e-05,3.875752727253711e-05,4.351610839876229e-05,1961-09-01
21,1.318574251854443e-05,1.5878971771599028e-05,2.286311428179033e-05,3.8273925383691676e-05,4.8057446292659733e-05,5.9955277720291626e-05,6.153769008960807e-05,1961-10-01
22,1.3827183574903757e-05,1.9486718520056458e-05,3.417706921027275e-05,3.8432459405157715e-05,4.562470076052705e-05,6.510613329737678e-05,7.169543361669639e-05,1961-11-01
23,2.0719086551252987e-05,2.1606901009363354e-05,2.51059177571733e-05,3.475228731986135e-05,4.139045904594241e-05,6.083517346269218e-05,6.388886624336009e-05,1961-12-01
24,1.0982040903400048e-05,1.338239630968019e-05,2.4421605758107034e-05,4.201857154839672e-05,4.661045204557013e-05,5.3173176820564545e-05,5.562462869420415e-05,1962-01-01
25,1.3858387828804553e-05,1.451031566830352e-05,2.4390363705606433e-05,2.9137718229321763e-05,3.4482128285162617e-05,3.92749587263097e-05,4.059302333189408e-05,1962-02-01
26,1.0741508021965274e-05,1.1386627056708675e-05,1.3732876141148154e-05,2.699259766814066e-05,3.791722429014044e-05,4.5385454723145815e-05,4.592024983139709e-05,1962-03-01
