,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,6.6,87.96060341763723,98677.62644397604,4.8,0,1987-01-01 00:00:00,1,0,0.0,0.19475510991129966,Neither,0,0.0,-0.20239463887379397,155.44080180104592,-65.44080180104592,0,,10,10,5.3758864978146645
1,6.6,95.75458093565572,98477.62644397604,6.0,0,1987-01-01 01:00:00,1,1,0.0,0.19475510991129966,Neither,1,0.0,0.7976053611262061,153.78991017326592,-63.78991017326592,0,,10,10,5.3758864978146645
2,6.6,95.75458093565572,98477.62644397604,6.0,0,1987-01-01 02:00:00,1,2,0.0,0.19475510991129966,Neither,2,0.0,1.797605361126206,147.4942909739487,-57.494290973948694,0,,10,10,3.866865726498267
3,7.2,95.75458093565572,98477.62644397604,6.6,0,1987-01-01 03:00:00,1,3,0.0,0.19475510991129966,Neither,3,0.0,2.797605361126206,138.73488134979047,-48.73488134979047,0,,10,10,4.90431750677829
4,7.8,95.75458093565572,98477.62644397604,7.2,0,1987-01-01 04:00:00,1,4,0.0,0.19475510991129966,Neither,4,0.0,3.797605361126206,128.93233502695594,-38.93233502695594,0,,10,10,3.866865726498267
5,9.7,89.07402877735416,98477.62644397604,8.0,0,1987-01-01 05:00:00,1,5,0.0,0.19475510991129966,Neither,5,0.0,4.797605361126206,118.81196488528123,-28.811964885281228,0,,9,8,5.847455488851039
6,8.5,100.0,98577.62644397604,8.5,0,1987-01-01 06:00:00,1,6,0.0,0.19475510991129966,Neither,6,0.0,5.797605361126206,108.79842859783892,-18.79842859783892,0,,10,10,3.3952967354618933
7,8.5,100.0,98577.62644397604,8.5,0,1987-01-01 07:00:00,1,7,0.0,0.19475510991129966,Sunrise,7,0.10752688172043011,6.797605361126206,99.21756572523338,-9.217565725233385,0,,8,7,5.3758864978146645
8,9.7,92.41430485650494,98577.62644397604,8.5,10,1987-01-01 08:00:00,1,8,0.10752688172043011,0.19475510991129966,Neither,8,0.1076923076923077,7.797605361126206,90.38978644611535,-0.38978644611535174,9,,10,9,4.338434717534641
9,9.7,95.75458093565572,98777.62644397604,9.1,56,1987-01-01 09:00:00,1,9,0.2153846153846154,0.19475510991129966,Neither,9,0.18103616813294232,8.797605361126205,82.67724938663586,7.322750613364136,54,45.31872271538396,10,10,2.9237277444255194
10,10.9,85.73375269820338,98777.62644397604,8.6,98,1987-01-01 10:00:00,1,10,0.2545454545454545,0.19475510991129966,Neither,10,0.1734817813765182,9.797605361126205,76.49927736783668,13.500722632163317,94,39.65358421490142,10,10,2.9237277444255194
11,11.4,82.3934766190526,98777.62644397604,8.5,60,1987-01-01 11:00:00,1,11,0.13157894736842105,0.19475510991129966,Neither,11,0.20296569102539253,10.797605361126205,72.30343867422349,17.696561325776514,58,0.0,10,10,3.866865726498267
