,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,8.1,96.08860591427676,98738.59835173815,7.5,0,1,0,0.0,0.19706903200925568,Neither,0,0.0,-0.20239463887379397,155.44080180104592,-65.44080180104592,0,-0.0,10,10,5.81301429015336
1,8.1,100.0,98538.59835173815,8.1,0,1,1,0.0,0.19706903200925568,Neither,1,0.0,0.7976053611262061,153.78991017326592,-63.78991017326592,0,-0.0,10,10,5.81301429015336
2,8.1,100.0,98538.59835173815,8.1,0,1,2,0.0,0.19706903200925568,Neither,2,0.0,1.797605361126206,147.4942909739487,-57.494290973948694,0,-0.0,10,10,4.181290980636627
3,8.7,100.0,98538.59835173815,8.7,0,1,3,0.0,0.19706903200925568,Neither,3,0.0,2.797605361126206,138.73488134979047,-48.73488134979047,0,-0.0,10,10,5.303100755929381
4,9.1,100.0,98538.59835173815,9.1,0,1,4,0.0,0.19706903200925568,Neither,4,0.0,3.797605361126206,128.93233502695594,-38.93233502695594,0,-0.0,10,10,4.181290980636627
5,10.8,97.30491738154609,98538.59835173815,10.4,0,1,5,0.0,0.19706903200925568,Neither,5,0.0,4.797605361126206,118.81196488528123,-28.811964885281228,0,-0.0,9,8,6.322927824377339
6,9.7,100.0,98638.59835173815,9.7,0,1,6,0.0,0.19706903200925568,Neither,6,0.0,5.797605361126206,108.79842859783892,-18.79842859783892,0,-0.0,10,10,3.6713774464126483
7,9.7,100.0,98638.59835173815,9.7,0,1,7,0.0,0.19706903200925568,Sunrise,7,0.10752688172043011,6.797605361126206,99.21756572523338,-9.217565725233385,0,-0.0,8,7,5.81301429015336
8,10.8,100.0,98638.59835173815,10.8,10,1,8,0.10752688172043011,0.19706903200925568,Neither,8,0.10961538461538461,7.797605361126206,90.38978644611535,-0.38978644611535174,9,0.0,10,9,4.691204514860606
9,10.8,100.0,98838.59835173815,10.8,57,1,9,0.21923076923076923,0.19706903200925568,Neither,9,0.18233486943164362,8.797605361126205,82.67724938663586,7.322750613364136,55,15.69138766413365,10,10,3.1614639121886694
10,11.8,93.6559829797381,98838.59835173815,10.8,99,1,10,0.2571428571428571,0.19706903200925568,Neither,10,0.17650134952766533,9.797605361126205,76.49927736783668,13.500722632163317,94,21.417162719973224,10,10,3.1614639121886694
11,12.3,90.00704857793012,98838.59835173815,10.7,61,1,11,0.1337719298245614,0.19706903200925568,Neither,11,0.20533049040511725,10.797605361126205,72.30343867422349,17.696561325776514,59,6.579469283344499,10,10,4.181290980636627
