,1,5,25,50,75,95,99,date
0,6.883799283059489e-06,7.6291660434435474e-06,1.045416456690873e-05,1.8657799046195578e-05,2.252672584290849e-05,2.6753238398669054e-05,2.7685267687047597e-05,1960-01-01
1,3.3446215343246877e-06,3.379936367764458e-06,5.830118482208491e-06,1.9633095689641777e-05,3.1192127607937437e-05,3.234951655031182e-05,3.2808631221996617e-05,1960-02-01
2,8.349779009222402e-06,9.079190522243153e-06,1.3103903711453313e-05,1.8721955711953342e-05,2.2097141481935978e-05,3.454838461038889e-05,3.7871618151257276e-05,1960-03-01
3,1.8097952386142428e-06,3.855749167769319e-06,1.1980670251432457e-05,2.0460603991523385e-05,2.5241645289497683e-05,4.4929526848136437e-05,5.158984735317062e-05,1960-04-01
4,4.4483096144176675e-06,5.199469092076469e-06,7.126262630663405e-06,9.476377726969076e-06,2.6675494609662564e-05,4.137254591114468e-05,4.7441833030461555e-05,1960-05-01
5,3.0107039310678374e-06,3.5932388527726292e-06,1.2780848464899464e-05,2.1615699552057777e-05,3.370874583197292e-05,4.3491546784935045e-05,4.755151556310011e-05,1960-06-01
6,1.315354317057427e-06,2.607739889981531e-06,5.8281325436837506e-06,1.4446271052293014e-05,2.193276577600045e-05,2.9475329847628017e-05,3.001479997692513e-05,1960-07-01
7,2.7206922777622825e-06,2.8632611929424457e-06,5.782031450962677e-06,1.0026855761680054e-05,1.438741355741513e-05,2.649809262038615e-05,3.139750932859897e-05,1960-08-01
8,3.99250726786704e-06,4.397263933242357e-06,6.462391638706322e-06,1.5758991594339022e-05,2.8720298814732814e-05,5.204636690905317e-05,5.4060039401520045e-05,1960-09-01
9,2.3847533543630565e-06,3.4174656434515786e-06,1.5264353578459122e-05,2.1989298147673253e-05,3.3692866963974666e-05,3.774076594709186e-05,3.9172756623884196e-05,1960-10-01
10,1.0001533628383187e-05,1.0232237946183886e-05,1.2239391708135372e-05,2.6373702894488815e-05,3.336887584737269e-05,4.072629380971193e-05,4.3528776150196794e-05,1960-11-01
11,4.031035537082062e-06,4.933918012284267e-06,8.303135132337047e-06,1.600455789230182e-05,2.3804437205399154e-05,3.114975716016488e-05,3.272820908023277e-05,1960-12-01
12,1.1606326370383613e-06,1.635110857023392e-06,7.740202249806316e-06,1.2180661542515736e-05,1.6536865132366074e-05,2.454623609082773e-05,2.671161782927811e-05,1961-01-01
13,4.219720635774138e-06,4.693612504524936e-06,5.986070959806966e-06,7.890093911555596e-06,1.7243530237465166e-05,1.9413560221437364e-05,1.9701805140357464e-05,1961-02-01
14,6.804011031817936e-06,7.040704281280341e-06,8.199158173738397e-06,1.1656621609290596e-05,1.7927057797351154e-05,2.9028551944065834e-05,3.219707839889451e-05,1961-03-01
15,2.668235899818683e-06,5.43105396673127e-06,1.7619617665332044e-05,2.1879462110518944e-05,2.3384253381664166e-05,2.9743661343673005e-05,3.1583790678269e-05,1961-04-01
16,1.4953949403206934e-05,1.5986532389433705e-05,1.8525703580962727e-05,2.2121526853879914e-05,2.7469361612020293e-05,3.834897506749257e-05,4.259784036548808e-05,1961-05-01
17,5.966124563201447e-06,6.85748514115403e-06,1.1671821766867652e-05,2.1514628315344453e-05,3.564050894055981e-05,4.702038295363308e-05,5.128354274347657e-05,1961-06-01
18,9.073794643654765e-07,1.2198312191458172e-06,4.489578543598327e-06,6.120462785474956e-06,1.2523202030934044e-05,2.1275565904943503e-05,2.3210398667288245e-05,1961-07-01
19,2.188375035530044e-06,3.043347521725082e-06,5.09893345679302e-06,5.738727622883744e-06,1.1231486496399157e-05,1.6674280186634856e-05,1.8812424414136328e-05,1961-08-01
20,3.3657424455668666e-06,4.89178526095202e-06,1.040511483552109e-05,1.5211307527351892e-05,1.6811608475109097e-05,2.0476058307394847e-05,2.1857302672287913e-05,1961-09-01
21,6.4930434473353675e-06,8.067345197559918e-06,1.3031328080614912e-05,2.002573910431238e-05,3.0167528166202828e-05,4.155117112532024e-05,4.6075783720880275e-05,1961-10-01
22,4.177507776148559e-06,4.265890197530098e-06,4.584524958772818e-06,8.087751666607801e-06,1.702877898424049e-05,1.9207112291041992e-05,2.0116956748097436e-05,1961-11-01
23,3.823228967121395e-06,6.26197427209263e-06,1.2782622661688947e-05,1.567982508277055e-05,1.6526267700101016e-05,3.1719810067443164e-05,3.814036244875751e-05,1961-12-01
24,2.0402364430083256e-06,2.9076868145239135e-06,5.082144184598292e-06,9.724858955451054e-06,2.9490067845472367e-05,4.149817632423946e-05,4.540014477242948e-05,1962-01-01
25,5.237043214947335e-06,5.455900054585072e-06,6.800036317144986e-06,7.708618340984685e-06,1.3015935792282107e-05,2.212734580098185e-05,2.5411177557543847e-05,1962-02-01
26,1.2084054014849244e-05,1.2516863989731064e-05,1.3608507742901566e-05,2.1998256670485716e-05,2.969993374790647e-05,4.349721148173557e-05,4.5729011217190414e-05,1962-03-01
27,4.861105826421409e-06,5.901674649066991e-06,9.252599056708277e-06,1.9273928046459332e-05,3.0201512345229276e-05,5.63916773899109e-05,6.525188382511259e-05,1962-04-01
28,7.0623008605252835e-06,7.393696773760894e-06,1.0879174396905e-05,1.8308518974663457e-05,2.9946083486720454e-05,4.5618613694387025e-05,4.580744502163725e-05,1962-05-01
29,8.176995324902236e-06,9.783964924281464e-06,1.5182160723270499e-05,2.0393751583469566e-05,2.311529397047707e-05,3.0670016985823165e-05,3.165799576891004e-05,1962-06-01
30,3.835100310425332e-06,3.919317282452539e-06,8.551834412173775e-06,1.2664143014262663e-05,1.721237822494004e-05,4.281894407540674e-05,5.336358570275478e-05,1962-07-01
31,1.945287227727022e-06,2.7878715002316317e-06,4.995653512196441e-06,1.1097052720288048e-05,1.6331314782291884e-05,2.4735976967349413e-05,2.643662270202185e-05,1962-08-01
32,1.4767020968520228e-06,1.7995499831613416e-06,3.262125346736866e-06,5.959795089438558e-06,1.4939410903025419e-05,2.7642088571155907e-05,2.9571252125606405e-05,1962-09-01
33,7.084956896505901e-06,9.956513576980798e-06,1.6740018963901093e-05,1.941480513778515e-05,2.2633933895122027e-05,2.802228182190447e-05,2.835377539668116e-05,1962-10-01
