,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,-5.3,84.4266900838963,83927.91591527677,-7.5,0,1987-01-01 00:00:00,1,0,0.0,0.5987509758001561,Neither,0,0.0,-0.06466130554046047,162.862387289362,-72.862387289362,0,,0,0,2.4984514183477877
1,-6.4,81.00398643184644,83927.91591527677,-9.1,0,1987-01-01 01:00:00,1,1,0.0,0.5987509758001561,Neither,1,0.0,0.9353386944595395,159.23445349834708,-69.23445349834708,0,,3,0,2.0179799917424437
2,-6.9,84.4266900838963,83927.91591527677,-9.1,0,1987-01-01 02:00:00,1,2,0.0,0.5987509758001561,Neither,2,0.0,1.9353386944595394,150.22243309438343,-60.22243309438343,0,,0,0,2.0179799917424437
3,-8.1,87.84939373594615,83927.91591527677,-9.8,0,1987-01-01 03:00:00,1,3,0.0,0.5987509758001561,Neither,3,0.0,2.9353386944595394,139.36956353477217,-49.36956353477217,0,,3,0,1.4414142798160312
4,-7.5,79.8630852144965,83927.91591527677,-10.4,0,1987-01-01 04:00:00,1,4,0.0,0.5987509758001561,Neither,4,0.0,3.9353386944595394,127.97778259474471,-37.97778259474471,0,,3,0,2.4984514183477877
5,-7.5,76.44038156244665,83927.91591527677,-10.9,0,1987-01-01 05:00:00,1,5,0.0,0.5987509758001561,Neither,5,0.0,4.935338694459539,116.55288543569088,-26.552885435690882,0,,0,0,2.0179799917424437
6,-8.1,79.8630852144965,83927.91591527677,-11.0,0,1987-01-01 06:00:00,1,6,0.0,0.5987509758001561,Sunrise,6,0.5945945945945946,5.935338694459539,105.39005237104595,-15.390052371045954,0,,7,2,2.4984514183477877
7,-7.5,76.44038156244665,83827.91591527677,-10.9,22,1987-01-01 07:00:00,1,7,0.5945945945945946,0.5987509758001561,Neither,7,0.2404255319148936,6.935338694459539,94.75055766644817,-4.750557666448174,11,,7,2,2.0179799917424437
8,-4.2,65.03136938894716,83827.91591527677,-9.8,113,1987-01-01 08:00:00,1,8,0.4808510638297872,0.5987509758001561,Neither,8,0.594209411311549,7.935338694459539,84.9366597720005,5.063340227999504,66,443.79882199200483,7,2,2.0179799917424437
9,-1.3,50.1996535633978,83827.91591527677,-10.3,250,1987-01-01 09:00:00,1,9,0.5938242280285035,0.5987509758001561,Neither,9,0.590606037330056,8.93533869445954,76.33846183368632,13.661538166313676,104,690.5028340717705,3,1,2.0179799917424437
