,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,-6.0,81.21571003935364,98980.51861818794,-8.7,0,2004-01-01 00:00:00-06:00,1,0,0.0,0.19160885365047903,Neither,0,0.0,0.0,0.0,6,5,4.185019286373651
1,-5.5,81.21571003935364,98980.51861818794,-8.2,0,2004-01-01 01:00:00-06:00,1,1,0.0,0.19160885365047903,Neither,1,0.0,0.0,0.0,8,5,3.6746510807183275
2,-4.8,81.21571003935364,98880.51861818794,-7.5,0,2004-01-01 02:00:00-06:00,1,2,0.0,0.19160885365047903,Neither,2,0.0,0.0,0.0,10,9,5.307829338815362
3,-4.3,81.21571003935364,98780.51861818794,-7.0,0,2004-01-01 03:00:00-06:00,1,3,0.0,0.19160885365047903,Neither,3,0.0,0.0,0.0,10,10,4.695387492028973
4,-3.7,81.21571003935364,98680.51861818794,-6.4,0,2004-01-01 04:00:00-06:00,1,4,0.0,0.19160885365047903,Neither,4,0.0,0.0,0.0,10,10,6.328565750126009
5,-3.7,81.21571003935364,98680.51861818794,-6.4,0,2004-01-01 05:00:00-06:00,1,5,0.0,0.19160885365047903,Sunrise,5,0.0,0.0,0.0,9,4,7.349302161436655
6,-3.2,77.78406031938094,98480.51861818794,-6.5,0,2004-01-01 06:00:00-06:00,1,6,0.0,0.19160885365047903,Neither,6,0.0,0.0,0.0,8,5,7.349302161436655
7,-2.5,74.35241059940826,98380.51861818794,-6.4,0,2004-01-01 07:00:00-06:00,1,7,0.0,0.19160885365047903,Neither,7,0.0,0.0,0.0,9,8,7.8596703670919785
8,-1.9,74.35241059940826,98280.51861818794,-5.8,0,2004-01-01 08:00:00-06:00,1,8,0.0,0.19160885365047903,Neither,8,0.11333333333333333,0.0,0.0,10,8,7.349302161436655
9,-0.8,70.92076087943556,98280.51861818794,-5.4,68,2004-01-01 09:00:00-06:00,1,9,0.22666666666666666,0.19160885365047903,Neither,9,0.12903225806451613,22.011102363917395,533.0557663882986,9,8,5.818197544470685
10,0.4,70.92076087943556,98180.51861818794,-4.2,112,2004-01-01 10:00:00-06:00,1,10,0.25806451612903225,0.19160885365047903,Neither,10,0.19829427083333334,81.61424762741217,142.4727182011825,10,10,6.838933955781332
11,0.9,72.06464411942646,97980.51861818794,-3.6,87,2004-01-01 11:00:00-06:00,1,11,0.169921875,0.19160885365047903,Neither,11,0.21409842063540457,87.0,0.0,10,10,7.349302161436655
12,2.0,75.49629383939916,97780.51861818794,-1.9,90,2004-01-01 12:00:00-06:00,1,12,0.17013232514177692,0.19160885365047903,Neither,12,0.1562419292355372,90.0,0.0,10,10,6.328565750126009
13,2.7,78.92794355937184,97680.51861818794,-0.6,69,2004-01-01 13:00:00-06:00,1,13,0.14256198347107438,0.19160885365047903,Neither,13,0.21171523908803885,69.0,0.0,10,10,5.307829338815362
