,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,-2.9,100.0,96260.02263837977,-2.9,0,1980-01-01 00:00:00,1,0,0.0,0.35955473098330243,Neither,0,0.0,-0.19646130554046073,156.0611308055393,-66.0611308055393,0,,10,10,3.1393559651074328
1,-3.1,100.0,96260.02263837977,-3.1,0,1980-01-01 01:00:00,1,1,0.0,0.35955473098330243,Neither,1,0.0,0.8035386944595393,154.31673223013757,-64.31673223013757,0,,10,10,2.758827969336835
2,-3.3,100.0,96160.02263837977,-3.3,0,1980-01-01 02:00:00,1,2,0.0,0.35955473098330243,Neither,2,0.0,1.8035386944595393,147.8304252342776,-57.83042523427761,0,,10,10,2.4734319725088865
3,-3.5,100.0,96160.02263837977,-3.5,0,1980-01-01 03:00:00,1,3,0.0,0.35955473098330243,Neither,3,0.0,2.8035386944595393,138.8960388107807,-48.89603881078071,0,,10,10,2.663695970394185
4,-3.6,100.0,96160.02263837977,-3.6,0,1980-01-01 04:00:00,1,4,0.0,0.35955473098330243,Neither,4,0.0,3.8035386944595393,128.9509511105465,-38.9509511105465,0,,10,10,2.758827969336835
5,-3.8,100.0,96060.02263837977,-3.8,0,1980-01-01 05:00:00,1,5,0.0,0.35955473098330243,Sunrise,5,0.0,4.803538694459539,118.7105778188984,-28.7105778188984,0,,10,10,2.9490919672221336
6,-3.8,100.0,96160.02263837977,-3.8,0,1980-01-01 06:00:00,1,6,0.0,0.35955473098330243,Neither,6,0.0,5.803538694459539,108.5905463744266,-18.590546374426594,0,,10,10,2.9490919672221336
7,-3.8,100.0,96160.02263837977,-3.8,0,1980-01-01 07:00:00,1,7,0.0,0.35955473098330243,Neither,7,0.15865384615384615,6.803538694459539,98.9114756979492,-8.9114756979492,0,,10,10,2.9490919672221336
8,-3.8,100.0,96160.02263837977,-3.8,33,1980-01-01 08:00:00,1,8,0.3173076923076923,0.35955473098330243,Neither,8,0.18864468864468864,7.803538694459539,89.99202441865468,0.007975581345320393,30,0.0,10,10,2.9490919672221336
9,-3.6,100.0,96160.02263837977,-3.6,103,1980-01-01 09:00:00,1,9,0.3772893772893773,0.35955473098330243,Neither,9,0.3290799113167534,8.803538694459538,82.19617970703253,7.8038202929674725,88,282.3400119536484,10,10,2.758827969336835
10,-3.5,100.0,96160.02263837977,-3.5,136,1980-01-01 10:00:00,1,10,0.3408521303258145,0.35955473098330243,Neither,10,0.37335806444086694,9.803538694459538,75.949205974888,14.050794025111998,120,163.16570059527794,10,10,2.663695970394185
