,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
0,-1.8,100.0,96292.4704483596,-1.8,0,1,0,0.0,0.3576994434137291,Neither,0,0.0,-0.19646130554046073,156.0611308055393,-66.0611308055393,0,-0.0,10,10,3.368618514879025
1,-2.0,100.0,96292.4704483596,-2.0,0,1,1,0.0,0.3576994434137291,Neither,1,0.0,0.8035386944595393,154.31673223013757,-64.31673223013757,0,-0.0,10,10,2.960301119136113
2,-2.2,100.0,96192.4704483596,-2.2,0,1,2,0.0,0.3576994434137291,Neither,2,0.0,1.8035386944595393,147.8304252342776,-57.83042523427761,0,-0.0,10,10,2.654063072328929
3,-2.4,100.0,96192.4704483596,-2.4,0,1,3,0.0,0.3576994434137291,Neither,3,0.0,2.8035386944595393,138.8960388107807,-48.89603881078071,0,-0.0,10,10,2.8582217702003847
4,-2.5,100.0,96192.4704483596,-2.5,0,1,4,0.0,0.3576994434137291,Neither,4,0.0,3.8035386944595393,128.9509511105465,-38.9509511105465,0,-0.0,10,10,2.960301119136113
5,-2.7,100.0,96092.4704483596,-2.7,0,1,5,0.0,0.3576994434137291,Sunrise,5,0.0,4.803538694459539,118.7105778188984,-28.7105778188984,0,-0.0,10,10,3.164459817007569
6,-2.7,100.0,96192.4704483596,-2.7,0,1,6,0.0,0.3576994434137291,Neither,6,0.0,5.803538694459539,108.5905463744266,-18.590546374426594,0,-0.0,10,10,3.164459817007569
7,-2.7,100.0,96192.4704483596,-2.7,0,1,7,0.0,0.3576994434137291,Neither,7,0.15865384615384615,6.803538694459539,98.9114756979492,-8.9114756979492,0,-0.0,10,10,3.164459817007569
8,-2.7,100.0,96192.4704483596,-2.7,33,1,8,0.3173076923076923,0.3576994434137291,Neither,8,0.18864468864468864,7.803538694459539,89.99202441865468,0.007975581345320393,30,0.0,10,10,3.164459817007569
9,-2.5,100.0,96192.4704483596,-2.5,103,1,9,0.3772893772893773,0.3576994434137291,Neither,9,0.32782677848467323,8.803538694459538,82.19617970703253,7.8038202929674725,88,110.47149594469604,10,10,2.960301119136113
