,1,5,25,50,75,95,99,date
0,2.417247596895322e-05,2.5495057343505323e-05,3.3815963433880825e-05,3.8958125514909625e-05,4.466325481189415e-05,6.68882727040909e-05,7.266081258421763e-05,2015-01-01
1,1.3578252201114084e-05,1.7102919537137494e-05,3.127664331259439e-05,3.80848505301401e-05,4.689674824476242e-05,5.631397070828825e-05,5.8332360931672153e-05,2015-02-01
2,2.228520515927812e-05,2.3024574147711974e-05,2.6004595383710694e-05,3.6457549867918715e-05,4.746669401356485e-05,5.0287725389353e-05,5.053590917668771e-05,2015-03-01
3,7.620092783326982e-06,1.0558523263171084e-05,2.0584740923368372e-05,2.3246278942679055e-05,3.0797908948443364e-05,3.716389728651847e-05,3.8299006919260135e-05,2015-04-01
4,1.1880299789481798e-05,1.2809489635401406e-05,1.8341318536840845e-05,2.3634336685063317e-05,2.8941409254912287e-05,3.301205397292506e-05,3.340258866955991e-05,2015-05-01
5,6.028528659953737e-06,7.777564678690397e-06,1.3578653124568518e-05,1.531228917883709e-05,1.742182303132722e-05,2.0907204634568186e-05,2.1923387721471953e-05,2015-06-01
6,5.965117170489976e-06,7.055722062432325e-06,1.0854181255126605e-05,2.2843869373900816e-05,2.4647315512993373e-05,3.1829036015551526e-05,3.398588654818013e-05,2015-07-01
7,1.1925676699320321e-05,1.3026056876697112e-05,1.6550558029848617e-05,1.7712440239847638e-05,3.247380482207518e-05,3.293881454737857e-05,3.2998738170135767e-05,2015-08-01
8,2.1126880892552435e-05,2.2286447347141802e-05,2.671717356861336e-05,2.917894562415313e-05,3.142104105791077e-05,3.680591653392184e-05,3.8534115665243e-05,2015-09-01
9,2.2547622429556213e-05,2.2722285575582645e-05,2.4043746634561103e-05,2.8101418138248846e-05,3.447711424087174e-05,3.968969285779167e-05,4.0525448057451285e-05,2015-10-01
10,1.797270779206883e-05,2.0440244043129496e-05,3.069883405260043e-05,3.4091281122528017e-05,4.7136307330220006e-05,5.729966542276087e-05,5.969793135591317e-05,2015-11-01
11,2.117233343597036e-05,2.32231668633176e-05,3.184703473380068e-05,3.557683157850988e-05,4.710687244369183e-05,5.2743828564416614e-05,5.33534077112563e-05,2015-12-01
12,2.8191490891913417e-05,3.0368654006451833e-05,3.791719427681528e-05,4.2249397665727884e-05,5.57022140128538e-05,6.708102628181222e-05,7.001693891652393e-05,2016-01-01
13,2.7359409104974476e-05,2.9042681671853642e-05,3.634524364315439e-05,4.6542074414901435e-05,5.551738649955951e-05,6.949510461708996e-05,7.288121625606435e-05,2016-02-01
14,1.686342460743617e-05,1.699596869002562e-05,2.2724550944985822e-05,3.4796728868968785e-05,5.086627061245963e-05,5.6359123482252466e-05,5.8012145673274055e-05,2016-03-01
15,2.6679548536776565e-05,2.690925721253734e-05,2.84170882878243e-05,3.091591133852489e-05,3.416564504732378e-05,3.868494095513596e-05,4.0053276170510794e-05,2016-04-01
16,3.965411206081626e-06,6.272730979617336e-06,1.3672457043867325e-05,2.01779548660852e-05,2.2435307073465083e-05,2.4576591567893046e-05,2.5264629257435442e-05,2016-05-01
17,6.555448135259212e-06,7.488749588446808e-06,1.0929644304269459e-05,1.1712311788869556e-05,1.653050730965333e-05,1.948243825609097e-05,2.039466915448429e-05,2016-06-01
18,1.0509934672882083e-05,1.0819600811373674e-05,1.3084899364912417e-05,1.514930136181647e-05,2.917899655585643e-05,3.381938531674677e-05,3.539969755365745e-05,2016-07-01
19,6.2760933906247375e-06,8.613206136942609e-06,1.7051600480044726e-05,2.2260872356127948e-05,3.3650985642452724e-05,4.314739235269371e-05,4.399274832394439e-05,2016-08-01
20,1.5148655384109589e-05,1.573862546138116e-05,2.1121741156093776e-05,2.5319506676169112e-05,3.158013805659721e-05,4.4883289228891946e-05,4.879031956079415e-05,2016-09-01
21,2.248026059533004e-05,2.3919029990793207e-05,3.315450612717541e-05,4.458912371774204e-05,5.634354965877719e-05,6.607376635656693e-05,6.703303850372322e-05,2016-10-01
22,1.7693257250357418e-05,2.2783422900829466e-05,3.830918649327941e-05,3.9045611629262567e-05,4.849530341743957e-05,6.105957654654048e-05,6.283355221967213e-05,2016-11-01
23,2.6622825862432366e-05,2.8197752726555336e-05,3.580045813578181e-05,4.6578177716583014e-05,5.275285730022006e-05,5.898264789720997e-05,6.018175248755142e-05,2016-12-01
24,2.071876650006743e-05,2.266240280732745e-05,3.464941619313322e-05,4.204290598863736e-05,6.186490645632148e-05,6.784660217817873e-05,6.954715063329784e-05,2017-01-01
25,1.836558509239694e-05,2.2917701971891802e-05,4.1853842049022205e-05,5.046487058280036e-05,5.5795062507968396e-05,5.719023683923297e-05,5.7659656595205884e-05,2017-02-01
26,2.293092889885884e-05,2.821137859427836e-05,4.3696050852304325e-05,5.3500625654123724e-05,5.605862315860577e-05,5.983250484860036e-05,6.094777032558341e-05,2017-03-01
27,2.0886268648609987e-05,2.1975382151140365e-05,2.554151706135599e-05,2.661545659066178e-05,2.9248857572383713e-05,3.7947036980767726e-05,4.008924450317863e-05,2017-04-01
28,1.9038576392631513e-05,1.9070620146521834e-05,1.9889534087269567e-05,2.532588769099675e-05,2.9340221772145014e-05,3.19354934617877e-05,3.238231700379402e-05,2017-05-01
29,7.275045163623872e-06,7.317584959309897e-06,7.882675618020585e-06,1.2171068192401435e-05,1.509898766016704e-05,2.5192477369273538e-05,2.810778929415391e-05,2017-06-01
30,1.3131571686244571e-05,1.382102600473445e-05,1.616536610526964e-05,1.8519822333473712e-05,2.4675770873727743e-05,2.888716899178689e-05,2.9896163723606148e-05,2017-07-01
